,id,name,rating,address,description,review,alias,image_url,is_closed,review_count,latitude,longitude,location,display_phone,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,21534iTuuFvUM-TJ8lHYrw,New York Burger,3.0,"Paseo de la Castellana, 89, 28046 Madrid, Spain",Burgers ,"Quick and convenient stop for a lunch near our hotel.  Burgers were not overly seasoned, but they were cooked to the correct temp we chose.  Crispy fries.... My favorite burger place. However decided to go for the brisket this time. It was amazing.. Three stars that's should've been four. Ordered the Bronx medium and it came out fairly rare. Probably my own fault, but communication and all. The parts.... ",new-york-burger-madrid-4,https://s3-media2.fl.yelpcdn.com/bphoto/AbfWt9zfHB4vaUS3L6lagg/o.jpg,False,24,40.4501393890249,-3.69156885892153,"{'address1': 'Paseo de la Castellana, 89', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28046', 'country': 'ES', 'state': 'M', 'display_address': ['Paseo de la Castellana, 89', '28046 Madrid', 'Spain']}",+34 917 70 79 82,€,,[],,,,,,,
1,4IhhD1GBzKLfX2i5U_7WPQ,Midtown,5.0,"Paseo de la Habana, 11, 28036 Madrid, Spain",Spanish Bars ,"Excelente ! Beronia, un vino de la Rioja, uvas Tempranillo, firme, aromático y  sin regaño. Las tapas, fenomenales. Casa una due una experiencia. Por seguro.... We were looking for a traditional Spanish meal for lunch and thank you Yelp for directing us to this great place.  Always a great sign when the place is.... This was my second choice for a meal as I originally planned to go to another restaurant that was just way too busy and chaotic. This place wasn't very busy.... ",midtown-madrid-2,https://s3-media2.fl.yelpcdn.com/bphoto/2-l26SIkKNLp5GygRFZ4SA/o.jpg,False,4,40.4496117,-3.68908,"{'address1': 'Paseo de la Habana, 11', 'address2': None, 'address3': '', 'city': 'Madrid', 'zip_code': '28036', 'country': 'ES', 'state': 'M', 'display_address': ['Paseo de la Habana, 11', '28036 Madrid', 'Spain']}",+34 912 50 00 60,€€,,[],,,,,,,
2,rakxDYgvG7bLchwWCZcnug,Zen Market,3.0,"Avenida de Concha Espina, 1, 28036 Madrid, Spain",Chinese Japanese ,"We had dinner here last night in Madrid. What a beautiful and cool restaurant! Our table had a view of the stadium and we got to watch a little football..... This is a beautiful restaurant right in the Real Madrid football stadium. Lush greens, totally zen. Menu is varied with lots of dishes to choose from: Thai,.... Depending on the dish the food is average or below average. My dish was chicken that you can find in any 7$ Chinese buffet in the US. 
You can have a view.... ",zen-market-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/-y3zkL2Gth6xC6B2T5vXtQ/o.jpg,False,20,40.45212291514,-3.68910986600228,"{'address1': 'Avenida de Concha Espina, 1', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28036', 'country': 'ES', 'state': 'M', 'display_address': ['Avenida de Concha Espina, 1', '28036 Madrid', 'Spain']}",+34 914 57 18 73,€€€,,[],,,,,,,
3,PUymMBDX0qJvMT0ooNQ02w,Honest Greens,3.0,"Paseo de la Castellana, 89, 28046 Madrid, Spain",Vegetarian ,"An amazing place with an entirely wheat/gluten free menu (except bread).

Plenty of vegan and vegetarian options and the ingredients are deliciously fresh.... The food is good but you have to be careful there. My daughter and I we were having dinner here and she had her purse stolen. She asked the manager for help.... Busy, hipster-y, DIY salad/bowl place!  Patrons seemed to be young professionals from nearby Nuevos Ministerios businesses/Santiago Bernabeu-area on their.... ",honest-greens-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/RJRYjjQJHdv9_SN_Up0X8w/o.jpg,False,17,40.4500120763604,-3.69162485003471,"{'address1': 'Paseo de la Castellana, 89', 'address2': '', 'address3': None, 'city': 'Madrid', 'zip_code': '28046', 'country': 'ES', 'state': 'M', 'display_address': ['Paseo de la Castellana, 89', '28046 Madrid', 'Spain']}",+34 914 21 50 11,€€,,[],,,,,,,
4,bdw-RrRLqWOOsptmyDSBXw,Tierra,5.0,"Calle de San Germán, 12, 28020 Madrid, Spain",American (Traditional) Mexican Vegetarian ,"If you are an American looking for an identical version of Chipotle or Tex Mex, then you have come to the right place.  They serve you big portions and the.... I've been to the Tierra by Dubliners in Sol and I didn't know they sold margaritas at bigger locations! My friend and I were on the prowl for a cheap.... Great atmosphere in downtown Madrid!  The employee preparing my meal quickly picked up that I was more comfortable with English and presented all options.... ",tierra-madrid-16,https://s3-media1.fl.yelpcdn.com/bphoto/DRYz8ZtA_AyCOOCDkBeFsQ/o.jpg,False,20,40.45645,-3.69292,"{'address1': 'Calle de San Germán, 12', 'address2': '', 'address3': None, 'city': 'Madrid', 'zip_code': '28020', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de San Germán, 12', '28020 Madrid', 'Spain']}",+34 915 93 71 20,€,,[],,,,,,,
5,q5ZewS5978uy6T7VmpZ_6g,Goiko Grill,4.0,"Avenida del General Perón, 16, 28020 Madrid, Spain",Burgers ,"One amazing burger , yummy from beginning to end. I think I had the one with goats che ese. I picked it was close to home, on Alberto Alcocer.. Friendly greeting and attentive young staff although an empty restaurant with Reserved signs on every table didn't give a great first impression ... such is.... ",goiko-grill-madrid-5,https://s3-media4.fl.yelpcdn.com/bphoto/NUD4zH6K6gl2h0cvTqwz1w/o.jpg,False,27,40.45225,-3.69695,"{'address1': 'Avenida del General Perón, 16', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28020', 'country': 'ES', 'state': 'M', 'display_address': ['Avenida del General Perón, 16', '28020 Madrid', 'Spain']}",+34 910 23 94 21,€€,,[],,,,,,,
6,EsCdS5TYHSpcXCii98K6vg,Taberna de la Daniela,4.0,"Calle Gutiérrez Solana, 2, 28036 Madrid, Spain",Tabernas ,"We stopped here during a tapas tour we took in Madrid. We came early, and it was not busy.  We grabbed some stools at the bar and ordered a drink. The.... ",taberna-de-la-daniela-madrid-3,https://s3-media4.fl.yelpcdn.com/bphoto/6TutTYXsvVbtQNAL-s3EZw/o.jpg,False,4,40.45059,-3.68896,"{'address1': 'Calle Gutiérrez Solana, 2', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28036', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Gutiérrez Solana, 2', '28036 Madrid', 'Spain']}",+34 914 11 58 61,€€,,[],,,,,,,
7,V2VWn4mOdlDt8VymJeayWg,MadrEAT,4.0,"28046 Madrid, Spain",Festivals Spanish Food Trucks ,"We were in Madrid for a soccer game and looked up what was going on in the city. Found this festival and was so pleased by it!!

They have all different.... This festival provided the biggest range of cultural cuisines that I got to experience in Spain (the majority of restaurants in Madrid serve Spanish food.... ",madreat-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/l3gyYhbHfrL1Wz99njhmgA/o.jpg,False,24,40.4470422363607,-3.69236997620749,"{'address1': '', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28046', 'country': 'ES', 'state': 'M', 'display_address': ['28046 Madrid', 'Spain']}",,€,,[],,,,,,,
8,dPqJBZDaQ5trkZTrthaM-w,Tattaglia,4.0,"Paseo de la Habana, 17, 28036 Madrid, Spain",Italian ,,tattaglia-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/fTmGBMpWB-Go7FYRbrQgyQ/o.jpg,False,4,40.45008,-3.68796,"{'address1': 'Paseo de la Habana, 17', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28036', 'country': 'ES', 'state': 'M', 'display_address': ['Paseo de la Habana, 17', '28036 Madrid', 'Spain']}",+34 915 62 85 90,€€,,[],,,,,,,
9,s_Q1sWkbXnNMvsSujT0MBg,Yakitoro,4.0,"Paseo de la Castellana, 130, 28046 Madrid, Spain",Spanish Japanese ,,yakitoro-madrid-2,https://s3-media3.fl.yelpcdn.com/bphoto/lmG4I-Ji_gX3eQtbQaoA6w/o.jpg,False,4,40.45019,-3.6902,"{'address1': 'Paseo de la Castellana, 130', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28046', 'country': 'ES', 'state': 'M', 'display_address': ['Paseo de la Castellana, 130', '28046 Madrid', 'Spain']}",+34 917 37 25 52,€€,,[],,,,,,,
