,id,name,rating,address,description,review,alias,image_url,is_closed,review_count,latitude,longitude,location,display_phone,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,Q33_3UMUz-TPJEhE_V20Ug,Asador Don Antonio,4.0,"Avenida de Carabanchel Alto, 58, 28044 Madrid, Spain",Spanish Steakhouses ,,asador-don-antonio-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/nNGDT1sVkY8LchivZbAfuQ/o.jpg,False,1,40.37048,-3.75322,"{'address1': 'Avenida de Carabanchel Alto, 58', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28044', 'country': 'ES', 'state': 'M', 'display_address': ['Avenida de Carabanchel Alto, 58', '28044 Madrid', 'Spain']}",+34 915 08 48 04,,,[],,,,,,,
1,CBof9dh2jQPmpP7UkmkGPA,Devinums,4.0,"Avenida de Nuestra Señora de Fátima, 86, 28047 Madrid, Spain",Wine Bars Spanish ,,devinums-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/we6hiidyTNKM3v6hcsrsig/o.jpg,False,2,40.38158,-3.74826,"{'address1': 'Avenida de Nuestra Señora de Fátima, 86', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28047', 'country': 'ES', 'state': 'M', 'display_address': ['Avenida de Nuestra Señora de Fátima, 86', '28047 Madrid', 'Spain']}",+34 914 62 88 28,,,[],,,,,,,
2,0pVmqQ_DbqQfrlcse56duQ,Madroñal,4.0,"Plaza de la Emperatriz, 12, 28044 Madrid, Spain",Dive Bars Spanish Tapas/Small Plates ,"Always great service here. Amazing for cañas and tapas, not so much for ordering in but I've not BC tried the menu yet.  Always busy but attentive service..... ",madroñal-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/YYNrB3RUL3BQq-KSZ7lpBQ/o.jpg,False,3,40.37377,-3.75149,"{'address1': 'Plaza de la Emperatriz, 12', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28044', 'country': 'ES', 'state': 'M', 'display_address': ['Plaza de la Emperatriz, 12', '28044 Madrid', 'Spain']}",+34 915 08 39 43,,,[],,,,,,,
3,zkdiONcVXjLpbIpvwhRw8w,Asador Avelino,4.5,"Calle Joaquín Turina, 42, 28044 Madrid, Spain",Steakhouses ,,asador-avelino-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/BfjimSlabhxkbDT4k2eudA/o.jpg,False,3,40.3721394187008,-3.75517931692711,"{'address1': 'Calle Joaquín Turina, 42', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28044', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Joaquín Turina, 42', '28044 Madrid', 'Spain']}",+34 915 08 40 80,€€,,[],,,,,,,
4,-XVpVNwNhxepiYGbjcYvPA,Passaparola L´Originale,4.5,"Calle de Guareña, 10, 28044 Madrid, Spain",Italian ,,passaparola-l-originale-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/u7S9boczgasMCmtaCjsXIw/o.jpg,False,6,40.388037,-3.766055,"{'address1': 'Calle de Guareña, 10', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28044', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Guareña, 10', '28044 Madrid', 'Spain']}",+34 915 09 50 91,€€,,[],,,,,,,
5,4M5OuwFb0bQR5fIVUpYS6g,Pulpería Caracolería,4.0,"Avenida de Nuestra Señora de Fátima, 55, 28047 Madrid, Spain",Spanish Seafood ,,pulpería-caracolería-madrid-2,https://s3-media4.fl.yelpcdn.com/bphoto/NfTu97EwPOlzfDxDedc0gQ/o.jpg,False,5,40.38352,-3.74707,"{'address1': 'Avenida de Nuestra Señora de Fátima, 55', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28047', 'country': 'ES', 'state': 'M', 'display_address': ['Avenida de Nuestra Señora de Fátima, 55', '28047 Madrid', 'Spain']}",+34 915 25 02 20,,,[],,,,,,,
6,3EaO944TJqBk4wMzH8MUIg,Punto de Encuentro,4.5,"Calle de Maqueda, 136, 28024 Madrid, Spain",Tapas Bars Pubs ,,punto-de-encuentro-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/b8eYjFpsc2_qtdCtyoD-Wg/o.jpg,False,8,40.38737,-3.761658,"{'address1': 'Calle de Maqueda, 136', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28024', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Maqueda, 136', '28024 Madrid', 'Spain']}",+34 917 19 48 05,€,,[],,,,,,,
7,AVfSGQV8f_GNffHrQvlT6g,Alba,4.0,"Avenida de Nuestra Señora de Fátima, 85, 28047 Madrid, Spain",Tapas Bars ,,alba-madrid-2,https://s3-media4.fl.yelpcdn.com/bphoto/oA81uiAEWtFmVRtUCiGERw/o.jpg,False,1,40.38035,-3.74835,"{'address1': 'Avenida de Nuestra Señora de Fátima, 85', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28047', 'country': 'ES', 'state': 'M', 'display_address': ['Avenida de Nuestra Señora de Fátima, 85', '28047 Madrid', 'Spain']}",+34 649 97 05 38,,,[],,,,,,,
8,Vf-MegcxvZGrVObkLCQABA,El Rincón del Greco,2.0,"Avenida Nuestra Señora de Fátima, 98, 28047 Madrid, Spain",Beer Bar Gastropubs Cocktail Bars ,,el-rincón-del-greco-madrid-2,https://s3-media2.fl.yelpcdn.com/bphoto/2BwrkiBlwxnjGxAPCieCyQ/o.jpg,False,1,40.3799402,-3.7489596,"{'address1': 'Avenida Nuestra Señora de Fátima, 98', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28047', 'country': 'ES', 'state': 'M', 'display_address': ['Avenida Nuestra Señora de Fátima, 98', '28047 Madrid', 'Spain']}",+34 658 62 38 48,€,,[],,,,,,,
9,r_GxGIW3uxzkIwH_QYvlCQ,El Timón del Terraza,4.5,"Calle de Camarena, 254, 28047 Madrid, Spain",Arroceria / Paella Mediterranean ,,el-timón-del-terraza-madrid-2,https://s3-media1.fl.yelpcdn.com/bphoto/tZxAM6F-ySlNrhQFvv10cw/o.jpg,False,3,40.38679,-3.75789,"{'address1': 'Calle de Camarena, 254', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28047', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Camarena, 254', '28047 Madrid', 'Spain']}",+34 917 18 16 50,,,[],,,,,,,
