,id,name,alias,categories,description,latitude,longitude,address,phone,rating,review_count,review,url,image_url,is_closed,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,9PmBsprReGaCiQ4bvxQoHQ,Diverxo,diverxo-madrid,"[{'alias': 'signature_cuisine', 'title': 'Signature Cuisine'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",Signature Cuisine Mediterranean ,40.457888263931,-3.68604997698104,"Calle Padre Damián, 23, 28020 Madrid, Spain",+34915700766,5.0,53,"Diverxo is one of the most memorable, mindfuck meals I've had in my life. Highlight of my year and my trip, and Top 5 meals of my life so far.

If you're on.... I came in with lofty expectations and they just weren't met.  Ambiance and service were top notch.

Pace of the meal was too long, but it almost had to be.... Wonderful dining experience.  Food as art.  Finesse to the extreme.  Every flavor one can imagine.  Wine pairing was best ever. Nine unique and perfectly.... ",https://www.yelp.com/biz/diverxo-madrid?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media2.fl.yelpcdn.com/bphoto/UqDT1RAuOOEqA5_u8ju-wg/o.jpg,False,€€€€,,[],,,,,,,
1,3h8FZefVHohejIQ_h_XpCw,Casa Benigna,casa-benigna-madrid,"[{'alias': 'arroceria_paella', 'title': 'Arroceria / Paella'}]",Arroceria / Paella ,40.448094,-3.6743163,"Calle Benigno Soto, 9, 28002 Madrid, Spain",+34914133356,5.0,61,"Casa Benigna and its staff were absolutely wonderful! It was recommended to me by a Madrileño friend as having the best rice, and that was totally accurate..... EAT HERE IMMEDIATELY! I cannot recommend this quaint restaurant enough!The staff is amazing, caring and genuine. Impeccable service. They treat you like.... Great food and outstanding service-good interiors My husband and i came for pre birthday dinner and not only enjoyed the food but the owners were so.... ",https://www.yelp.com/biz/casa-benigna-madrid?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media2.fl.yelpcdn.com/bphoto/tbpiqnDkAshi2LiU9CMs3Q/o.jpg,False,€€€,,[],,,,,,,
2,mdRx656CrCvPnBCrNMFLpQ,Lakasa,lakasa-madrid-5,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'signature_cuisine', 'title': 'Signature Cuisine'}]",Spanish Signature Cuisine ,40.440875,-3.700715,"Plaza del Descubridor Diego de Ordás, 1, 28003 Madrid, Spain",+34915338715,5.0,50,"Traveling in Madrid alone, I wanted to treat myself to a good authentic Spanish meal and this place seemed to fit the bill. After doing some research, I.... Yes, it is that good. 

Yes, you should definitely make reservations. 

Yes, you should get the mussels. 

Yes, please save room for desserts. 

Cannot wait.... It is my fifth time to be here. It is hard to believe I live on the other side of the world! This is definitely the restaurant you never want to miss! The.... ",https://www.yelp.com/biz/lakasa-madrid-5?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media4.fl.yelpcdn.com/bphoto/raOce94EiIG3x_zQE2UdlA/o.jpg,False,€€,,[],,,,,,,
3,vN43x56mIKFIG0XWzWZnrQ,Alfredo's Barbacoa,alfredos-barbacoa-madrid,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'burgers', 'title': 'Burgers'}]",American (Traditional) Burgers ,40.460491958998,-3.6872518199854,"Calle de Juan Hurtado de Mendoza, 11, 28036 Madrid, Spain",+34913451639,4.0,55,"Delicious food and a friendly environment.

The burgers are particularly worth trying, they are possibly the best I've had in Madrid. The chili is also.... I will never return to this restaurant again, not because of the food (which was good for Spanish standards), but because of the offensive decoration. The.... Best burgers I found during my summer in Spain. Questionable decore (confederate flags and KKK references), but aside from that, the best coleslaw I've ever.... ",https://www.yelp.com/biz/alfredos-barbacoa-madrid?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media4.fl.yelpcdn.com/bphoto/HsafPJTCYJYxXzdsQ4zMcA/o.jpg,False,€€,,[],,,,,,,
4,51S6z5J-W6IaBXqAChNHdA,Goiko Grill,goiko-grill-madrid-12,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'burgers', 'title': 'Burgers'}]",American (Traditional) Burgers ,40.4584728802727,-3.68106816465038,"Avenida Alberto Alcocer, 42, 28016 Madrid, Spain",+34910609927,4.0,9,"Finally a place in Madrid with salt and seasoning on their burgers and fries.

The food is really good here. It is definitely a go to if you're in Madrid.. It is twice as thick as the ""napkin plus"" of ""Brooklyn Burger"", the best hamburger in Korea.
Adding mushrooms to a kevin set is the best combination.
I can.... This is a great spot for a burger. Finding good food in Madrid was a challenge for me. This spot will not disappoint.. ",https://www.yelp.com/biz/goiko-grill-madrid-12?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media2.fl.yelpcdn.com/bphoto/c2hXB50I6C8IJI1ad0KipQ/o.jpg,False,€€,,[],,,,,,,
5,bdw-RrRLqWOOsptmyDSBXw,Tierra,tierra-madrid-16,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'vegetarian', 'title': 'Vegetarian'}]",American (Traditional) Mexican Vegetarian ,40.45645,-3.69292,"Calle de San Germán, 12, 28020 Madrid, Spain",+34915937120,5.0,20,"If you are an American looking for an identical version of Chipotle or Tex Mex, then you have come to the right place.  They serve you big portions and the.... I've been to the Tierra by Dubliners in Sol and I didn't know they sold margaritas at bigger locations! My friend and I were on the prowl for a cheap.... Great atmosphere in downtown Madrid!  The employee preparing my meal quickly picked up that I was more comfortable with English and presented all options.... ",https://www.yelp.com/biz/tierra-madrid-16?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media1.fl.yelpcdn.com/bphoto/DRYz8ZtA_AyCOOCDkBeFsQ/o.jpg,False,€,,[],,,,,,,
6,nebvzmoin1WxKucyzgwDQQ,Ristorante Il Pastaio,ristorante-il-pastaio-madrid,"[{'alias': 'italian', 'title': 'Italian'}]",Italian ,40.4420383,-3.696866,"Calle de Ríos Rosas, 49, 28003 Madrid, Spain",+34915542925,5.0,22,"SO impressed by the staff!

We interacted with everyone who worked there and they were all so sweet and professional. The food was incredible and because we.... Stumbled upon this restaurant on the streets of Madrid and was pleasantly surprised. We opted to split a bottle of rose which came in an ice bag so that it.... After two weeks of Spanish food and tapas we ready for something else. We discovered this hidden little gem. Great Italian food! We ate here twice during.... ",https://www.yelp.com/biz/ristorante-il-pastaio-madrid?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media3.fl.yelpcdn.com/bphoto/AOWpFHeNojxZmcTO-ljPGA/o.jpg,False,€€,,[],,,,,,,
7,LQJpl8JLrR_o9cSWFFQjJg,Samm,samm-madrid,"[{'alias': 'arroceria_paella', 'title': 'Arroceria / Paella'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",Arroceria / Paella Tapas/Small Plates ,40.46428,-3.67,"Calle de Carlos Caamaño, 3, 28016 Madrid, Spain",+34913453074,4.0,14,"We were in Madrid and touring with a private guide who strongly recommended that we take a taxi outside of the tourist part of town and experience Samm for,.... We were taken here by a couple who live in Madrid
It was an amazing experience, dining out on the terrace and the paella with seafood was one of the best.... The hotel staff recommended this place.  It is a long taxi ride from Central Madrid, but claimed to be the best paella.  It is in a nondescript.... ",https://www.yelp.com/biz/samm-madrid?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media2.fl.yelpcdn.com/bphoto/2EvyBq8tzbBOxQCBZMGOVw/o.jpg,False,€€€,,[],,,,,,,
8,rjPKtwv6fVC1MgKeW9lzJQ,Rubaiyat,rubaiyat-madrid-2,"[{'alias': 'brazilian', 'title': 'Brazilian'}, {'alias': 'steak', 'title': 'Steakhouses'}]",Brazilian Steakhouses ,40.4612,-3.68679,"Calle de Juan Ramón Jiménez, 37, 28036 Madrid, Spain",+34913595696,5.0,20,"Great place to eat in the area. Can't say nicer things. Madrid cuisine is hit or miss, one really needs to use Google reviews or Yelp to find that perfect.... Excellent food and excellent service! Mushroom app and then the Kobe beef for two was delicious. Bread and several delicious dipping sauces comes with the.... Rubaiyat is not for tourists.  Here, in the high-rent district, near P. Castilla, you're more likely to run into a PE investor or banker taking his or her.... ",https://www.yelp.com/biz/rubaiyat-madrid-2?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media3.fl.yelpcdn.com/bphoto/neoJUu7iYGhe4d1ij32zwQ/o.jpg,False,€€€,,[],,,,,,,
9,jNNUD_5R_0_jZgglLaUC-w,De María,de-maría-madrid-7,"[{'alias': 'steak', 'title': 'Steakhouses'}]",Steakhouses ,40.4634705,-3.68821,"Calle Félix Boix, 5, 28036 Madrid, Spain",+34913596507,5.0,10,"Our local coworker took us for a dinner here and I loved the ambiance (open air) and service (attentively yet not intrusive).  The steak was amazing cooked.... We brought the family here on a Sunday night. We arrived at their opening at 9pm. They have great service. I would definitely recommend you trying this.... Was very close to Charmartin train station and stumbled upon it. Very generous portions. Almost missed my train trying to finish meal.
The servers were.... ",https://www.yelp.com/biz/de-mar%C3%ADa-madrid-7?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media3.fl.yelpcdn.com/bphoto/VRmN7gUWhbN8-gYZkRGLNA/o.jpg,False,€€,,[],,,,,,,
