,id,name,rating,address,description,review,alias,image_url,is_closed,review_count,latitude,longitude,location,display_phone,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,Kyd34wdEsq7f_pIWBZPcEw,The Knife,5.0,"Calle Arturo Soria, 126, 28043 Madrid, Spain",Steakhouses Argentine ,"On our 2nd to last night on Madrid, we found ourselves at the Knife. Why did we wait so long???

Everything about the place was wonderful. We arrived early.... The Knife was a nice treat. The staff was very friendly and helpful. The meat was outstanding and I definitely had my fill! They had everything under the.... So now I've finally been to this location. Did I mention this restaurant is my most favourite restaurant ever??? Imagine my surprise to find they have a.... ",the-knife-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/FIdGHtmIYZeFUgkap1Q3ZA/o.jpg,False,18,40.4497604,-3.6510601,"{'address1': 'Calle Arturo Soria, 126', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28043', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Arturo Soria, 126', '28043 Madrid', 'Spain']}",+34 911 89 80 97,€€,,[],,,,,,,
1,xNQb7EOnddlOmWMPxmlKcg,LA VACA,4.0,"Calle Torrecilla del Puerto, 5, 28043 Madrid, Spain",Argentine Steakhouses Signature Cuisine ,I had to make sure that La Vaca Argentina is now just La Vaca. I think they had a renovation and made the place look a lot more airy and woody. Went there.... ,la-vaca-madrid-5,https://s3-media4.fl.yelpcdn.com/bphoto/4D4_FDRC-knscSqHHVieYA/o.jpg,False,5,40.45125,-3.64989,"{'address1': 'Calle Torrecilla del Puerto, 5', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28043', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Torrecilla del Puerto, 5', '28043 Madrid', 'Spain']}",+34 913 88 33 87,€€,,[],,,,,,,
2,P9Ny31QcxVrN7Wj1KefqSw,Lateral,3.0,"Calle de Arturo Soria, 126-128, 28043 Madrid, Spain",Bars Spanish ,"Decent food, service was pretty comical. Not quite bad, but silly. 

One of the waitresses kept putting into the computer food for our table, even though we.... ",lateral-madrid-7,https://s3-media3.fl.yelpcdn.com/bphoto/sIGqkpm9354mWIZWDo6VUw/o.jpg,False,10,40.4495,-3.65105,"{'address1': 'Calle de Arturo Soria, 126-128', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28043', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Arturo Soria, 126-128', '28043 Madrid', 'Spain']}",+34 913 00 36 01,€€,,[],,,,,,,
3,D1Uf1zfPnCAYgz4D12jg_w,Taberna Airén,4.0,"Calle Emilio Vargas, 18, 28043 Madrid, Spain",Spanish Tabernas ,,taberna-airén-madrid-2,https://s3-media1.fl.yelpcdn.com/bphoto/oN-oHeEVX9U2QCX8w9OHqg/o.jpg,False,1,40.44872,-3.652,"{'address1': 'Calle Emilio Vargas, 18', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28043', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Emilio Vargas, 18', '28043 Madrid', 'Spain']}",+34 810 52 62 48,€€,,[],,,,,,,
4,28LmLNcxwxO9jR248oqcnw,Ginos,3.5,"Calle Arturo Soria, 126-128, 28043 Madrid, Spain",Italian ,,ginos-madrid-1464,https://s3-media1.fl.yelpcdn.com/bphoto/dR6DZM7UTBLMPXSTp9gE-A/o.jpg,False,5,40.450104,-3.651166,"{'address1': 'Calle Arturo Soria, 126-128', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28043', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Arturo Soria, 126-128', '28043 Madrid', 'Spain']}",+34 912 75 92 62,€€,,[],,,,,,,
5,RzhjTL_yVdYvvnjs0cSWtQ,Casa Lobo,5.0,"Calle Torrecilla del Puerto, 5, 28043 Madrid, Spain",Cocktail Bars Mediterranean ,,casa-lobo-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/R79qhJMzANPY66mkPFkX6w/o.jpg,False,2,40.4516625992089,-3.64978796825517,"{'address1': 'Calle Torrecilla del Puerto, 5', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28043', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Torrecilla del Puerto, 5', '28043 Madrid', 'Spain']}",+34 912 01 42 62,€€,,[],,,,,,,
6,AVcREhxbL0OcL5NF0y8-xg,Casa Carmen,5.0,"Calle de Ulises, 13, 28043 Madrid, Spain",Modern European ,"the food was so good and andrea was the best waitress
if you want to get something from the mall in madrid go there. ",casa-carmen-madrid-2,https://s3-media2.fl.yelpcdn.com/bphoto/C2LOw6l1SFu_VScaJ1-8gQ/o.jpg,False,2,40.450140154431,-3.65050692111254,"{'address1': 'Calle de Ulises, 13', 'address2': '', 'address3': None, 'city': 'Madrid', 'zip_code': '28043', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Ulises, 13', '28043 Madrid', 'Spain']}",,,,[],,,,,,,
7,LauOsek8mj_VHZ3k9KKZdg,Farruca,4.0,"Calle de Arturo Soria, 126, 28043 Madrid, Spain",Gastropubs ,"New addition to the arturo soria lines of terrazas, lovely place with the wood and green ambiance, almost like a mix of beach dock and a green house. We.... ",farruca-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/gm3riMBlRoFfX4GeIqGmig/o.jpg,False,2,40.44976,-3.65106,"{'address1': 'Calle de Arturo Soria, 126', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28043', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Arturo Soria, 126', '28043 Madrid', 'Spain']}",+34 913 00 43 69,,,[],,,,,,,
8,hp-4UsUFrwsBDoxIZkqB_Q,Sapama,3.5,"Calle de José del Hierro, 60, 28027 Madrid, Spain",Tapas/Small Plates Spanish Tapas Bars ,,sapama-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/vptYob5MxLZ55wW4W0Asog/o.jpg,False,25,40.44072,-3.64237,"{'address1': 'Calle de José del Hierro, 60', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28027', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de José del Hierro, 60', '28027 Madrid', 'Spain']}",+34 913 67 96 29,€,,[],,,,,,,
9,slUDLwXdDlI9lsQB3uvJvA,El Bund,4.0,"Calle de Arturo Baldasano, 22, 28043 Madrid, Spain",Dim Sum ,"My friend and I are Chinese tourists from London.although this place is a little far away from central Madrid ,but the dishes are worth it! We sit outside.... Delicious home made dim sum!! It's just a little bit too pricey and the wait for the food to be served is too long... But the taste, it's definitely not a.... We had a set menu for two people and a cup of tea which costed us 70 euros... The decoration was amazing and surprised me a little bit.  The food is.... ",el-bund-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/lPDYdroxPuZ4lI29SQNZPA/o.jpg,False,17,40.45673,-3.65857,"{'address1': 'Calle de Arturo Baldasano, 22', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28043', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Arturo Baldasano, 22', '28043 Madrid', 'Spain']}",+34 911 15 18 13,€€,,[],,,,,,,
