,id,name,rating,address,description,review,alias,image_url,is_closed,review_count,latitude,longitude,location,display_phone,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,2vuBM2AfM0iPjSfoJFf_dA,El Güero,5.0,"Calle Emigrantes, 2, 28043 Madrid, Spain",Latin American Mexican ,"We love this place, and come for work lunches all the time. Excellent Venezuelan and Mexican. Everything we've had has been nice but.... Antonio was great. My friends and I came in late tonight to find a table and the place was (predictably) packed. There was no possible way for them to get a.... Excellent service in a small restaurant with about 12 tables in a quiet neighborhood. 
Food is delicious and the service is very friendly and fast. There.... ",el-güero-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/qwoMMzr8DmT5RdufhZLkqQ/o.jpg,False,28,40.4659061,-3.6359818,"{'address1': 'Calle Emigrantes, 2', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28043', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Emigrantes, 2', '28043 Madrid', 'Spain']}",+34 917 59 16 28,€€,,[],,,,,,,
1,oNhHsRDpIlD_LKhGNJoMUg,A' Fenestella,4.0,"Calle de Torquemada, 25, 28043 Madrid, Spain",Italian Pizza ,"Some of the best Italian food I've ever had.  The pizza was incredible, the lasagna was the best I've had, period and the staff was so incredibly friendly.... Good italian food and service for a very reasonable price. The calzone was amazing and the other pizzas we ordered very good too. The only inconvenient is.... ",a-fenestella-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/Ao0v7UZuUjYfoKiLwkZfGA/o.jpg,False,19,40.46842,-3.63845,"{'address1': 'Calle de Torquemada, 25', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28043', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Torquemada, 25', '28043 Madrid', 'Spain']}",+34 913 82 56 80,€€,,[],,,,,,,
2,-ZxXff2eNTNAcMYEP5Gphw,Sabores que vuelan,1.0,"Calle Mar de Oman, 25, 28033 Madrid, Spain",Steakhouses ,,sabores-que-vuelan-madrid,,False,1,40.474411,-3.6407599,"{'address1': 'Calle Mar de Oman, 25', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28033', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Mar de Oman, 25', '28033 Madrid', 'Spain']}",+34 910 23 73 56,€€,,[],,,,,,,
3,queFyRCis_PS7YaUnrI1lQ,La Canica,5.0,"Avenida de los Andes, 25, 28043 Madrid, Spain",Spanish ,"La Canica had the best food we ate during our 9 days driving around Andalusia & Madrid, and that is saying something.
The artichoke hearts roasted w/olive.... The reason for going to this restaurant was to attend a meeting. It is near the airport. The service is a little slow.  To start we had flat bread with.... This is a great restaurant! Isidro the waiter suggested something for us to drink and eat and let me tell you what we got was delicious!!!!!  Lomo grilled ,.... ",la-canica-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/8xFAeo236w7jIbOIJSl-tw/o.jpg,False,10,40.4560509,-3.6196401,"{'address1': 'Avenida de los Andes, 25', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28043', 'country': 'ES', 'state': 'M', 'display_address': ['Avenida de los Andes, 25', '28043 Madrid', 'Spain']}",+34 913 20 15 03,€,,[],,,,,,,
4,n4tuEcZDB_Ig8eUJVsIk2w,Minotauro,5.0,"Calle de Silvano, 92, 28043 Madrid, Spain",Spanish Beer Bar Cocktail Bars ,,minotauro-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/MR_kEXlawl4ACQkCBGyZ9A/o.jpg,False,5,40.462500097946,-3.63707366673372,"{'address1': 'Calle de Silvano, 92', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28043', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Silvano, 92', '28043 Madrid', 'Spain']}",+34 913 88 94 45,€€,,[],,,,,,,
5,MU4g5Wl_dWvZbE00fTo7VA,La Gran Pulpería,1.0,"Avenida de Machupichu, 14, 28043 Madrid, Spain",Spanish Galician ,"Attending a conference in Madrid.  A local pointed me to this restaurant and well-deserving of its high ratings on Yelp.  Fresh seafood and great ambiance..... This is one of my favorite octopus restaurants and it always has a very energized atmosphere with locals chatting it up. You could step right up to the bar.... Elegant smoking and seafood dining establishment in Madrid. If you eat seafood and smoke cigarettes, then you might  enjoy this restaurant. I found this.... ",la-gran-pulpería-madrid-2,https://s3-media4.fl.yelpcdn.com/bphoto/PmAXrwgj2eycfOKhMEZNzQ/o.jpg,False,17,40.45714,-3.6242,"{'address1': 'Avenida de Machupichu, 14', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28043', 'country': 'ES', 'state': 'M', 'display_address': ['Avenida de Machupichu, 14', '28043 Madrid', 'Spain']}",+34 913 00 18 73,€€€,,[],,,,,,,
6,w0d4ZrJc91d4KtjEp2e4Ng,Mamma Luna,4.5,"Calle Mar de Aral, 16, 28033 Madrid, Spain",Rotisserie Chicken ,,mamma-luna-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/YLlMdzzVKmzGvDxtDa74QQ/o.jpg,False,3,40.4744,-3.64289,"{'address1': 'Calle Mar de Aral, 16', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28033', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Mar de Aral, 16', '28033 Madrid', 'Spain']}",+34 913 82 03 47,€,,[],,,,,,,
7,bhmlbdfdSBJ5WdkWGyRxnQ,Zuppa,5.0,"Calle Vía de los Poblados, 3, 28033 Madrid, Spain",Soup Sandwiches ,"Amazing soup! We're staying at hotel next door and came in by accident because it was raining.
The soups are so flavorful even the rice in the side they.... Not only was the place immaculate but the soups were delicious, and the sandwich yummy.  The manager was 0attentive and knew all about the soups.  It's.... ",zuppa-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/96e4HNOy2rCe4htRoGGkkg/o.jpg,False,2,40.4750214639035,-3.63394724202987,"{'address1': 'Calle Vía de los Poblados, 3', 'address2': '', 'address3': None, 'city': 'Madrid', 'zip_code': '28033', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Vía de los Poblados, 3', '28033 Madrid', 'Spain']}",+34 691 70 65 66,,,[],,,,,,,
8,M82c3PsM5wykSJH2kjuHOw,Casa Florencio,4.5,"Calle de Mar Caspio, 39, 28033 Madrid, Spain",Spanish ,,casa-florencio-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/P_ooH5hBa8fSf6TbxoCJKg/o.jpg,False,2,40.4733810424805,-3.6435968875885,"{'address1': 'Calle de Mar Caspio, 39', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28033', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Mar Caspio, 39', '28033 Madrid', 'Spain']}",+34 917 63 01 16,,,[],,,,,,,
9,ZEMc7mrpBTYw9cw6J9St4g,Mütte,5.0,"Avenida del Alcalde Conde de Mayalde, 37, Esquina calle Príncipe Carlos, 28050 Madrid, Spain",Asian Fusion ,we are from the United States and we were craving Asian food so he found this place. Didn't really know what to expect. Everything we ordered was delicious.... ,mütte-madrid-2,https://s3-media3.fl.yelpcdn.com/bphoto/AQs51KUbQIWZqYmxtJUrQQ/o.jpg,False,8,40.4918899,-3.6534709,"{'address1': 'Avenida del Alcalde Conde de Mayalde, 37', 'address2': 'Esquina calle Príncipe Carlos', 'address3': None, 'city': 'Madrid', 'zip_code': '28050', 'country': 'ES', 'state': 'M', 'display_address': ['Avenida del Alcalde Conde de Mayalde, 37', 'Esquina calle Príncipe Carlos', '28050 Madrid', 'Spain']}",+34 913 18 53 29,€€,,[],,,,,,,
10,LQJpl8JLrR_o9cSWFFQjJg,Samm,4.0,"Calle de Carlos Caamaño, 3, 28016 Madrid, Spain",Arroceria / Paella Tapas/Small Plates ,"We were in Madrid and touring with a private guide who strongly recommended that we take a taxi outside of the tourist part of town and experience Samm for,.... We were taken here by a couple who live in Madrid
It was an amazing experience, dining out on the terrace and the paella with seafood was one of the best.... The hotel staff recommended this place.  It is a long taxi ride from Central Madrid, but claimed to be the best paella.  It is in a nondescript.... ",samm-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/2EvyBq8tzbBOxQCBZMGOVw/o.jpg,False,14,40.46428,-3.67,"{'address1': 'Calle de Carlos Caamaño, 3', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28016', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Carlos Caamaño, 3', '28016 Madrid', 'Spain']}",+34 913 45 30 74,€€€,,[],,,,,,,
11,CplazQqr3Pw8zpAuW46_BA,Arturo,5.0,"Calle del Mar de Bering, 9, 28033 Madrid, Spain",Diners Asturian ,,arturo-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/MigaWQyJYJCxY1T2LUqDgQ/o.jpg,False,2,40.47294952,-3.64146151,"{'address1': 'Calle del Mar de Bering, 9', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28033', 'country': 'ES', 'state': 'M', 'display_address': ['Calle del Mar de Bering, 9', '28033 Madrid', 'Spain']}",+34 913 81 25 02,,,[],,,,,,,
12,kc54Brn4AEBA0ai7XZAkLQ,Casa Tua,5.0,"Via de los Poblados, 3, Parque Empresarial Cristalia, 28033 Madrid, Spain",Spanish ,A hidden Jem in Madrid the Italian restaurant it's amazing. Nice ambiance and the food it's delicious designer decorated. Best of the best I recommend this.... ,casa-tua-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/eisZ9JdpBruqovlTHYqM2g/o.jpg,False,1,40.47531,-3.63536,"{'address1': 'Via de los Poblados, 3', 'address2': '', 'address3': 'Parque Empresarial Cristalia', 'city': 'Madrid', 'zip_code': '28033', 'country': 'ES', 'state': 'M', 'display_address': ['Via de los Poblados, 3', 'Parque Empresarial Cristalia', '28033 Madrid', 'Spain']}",+34 913 82 43 60,,,[],,,,,,,
