,id,name,rating,address,description,review,alias,image_url,is_closed,review_count,latitude,longitude,location,display_phone,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,Fv9orpCINPsnXSvoEKYc-w,Alegría,3.5,"Calle de Illescas, 98, 28047 Madrid, Spain",Chinese ,,alegría-madrid-2,https://s3-media1.fl.yelpcdn.com/bphoto/RWF8qyHshszvuMk3azpxMw/o.jpg,False,2,40.38987,-3.75272,"{'address1': 'Calle de Illescas, 98', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28047', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Illescas, 98', '28047 Madrid', 'Spain']}",+34 917 18 19 27,,,[],,,,,,,
1,7Xy61WvYb1i_YrFUBV8N1A,Pikondo,3.5,"Calle de Ocaña, 112, 28047 Madrid, Spain",Basque ,,pikondo-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/0dm6dp3BtWTtwhWyTWub2g/o.jpg,False,2,40.3871449178572,-3.7519316265199,"{'address1': 'Calle de Ocaña, 112', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28047', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Ocaña, 112', '28047 Madrid', 'Spain']}",+34 911 72 07 45,€€,,[],,,,,,,
2,H6M_Ie_rh1Su4zp4ZIhU7A,Aynaelda,4.5,"Calle los Yébenes, 38, 28047 Madrid, Spain",Spanish ,,aynaelda-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/fdWAfbKRw5oVH0IFznPwng/o.jpg,False,6,40.395977,-3.754116,"{'address1': 'Calle los Yébenes, 38', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28047', 'country': 'ES', 'state': 'M', 'display_address': ['Calle los Yébenes, 38', '28047 Madrid', 'Spain']}",+34 917 10 10 51,€€,,[],,,,,,,
3,Dv0y4uThYkQr6s7NsnR_4g,Kalenda,3.0,"Calle Ocaña, 112, 28047 Madrid, Spain",Breweries Spanish ,,kalenda-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/ygHuv7U0g09xe92jQMVa5A/o.jpg,False,1,40.3872124591957,-3.75225987285376,"{'address1': 'Calle Ocaña, 112', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28047', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Ocaña, 112', '28047 Madrid', 'Spain']}",+34 915 09 85 61,€€,,[],,,,,,,
4,I8n7fk7JnVxvWH54ZAl_Cw,Pica Pizza,3.5,"Calle de Illescas, 100, 28047 Madrid, Spain",Pizza ,,pica-pizza-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/w4rDL0ROfdTphwMriiPPlg/o.jpg,False,2,40.3894499,-3.75215,"{'address1': 'Calle de Illescas, 100', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28047', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Illescas, 100', '28047 Madrid', 'Spain']}",+34 917 19 11 11,,,[],,,,,,,
5,KQ9ZCYIIEwMuU8IsrRLj-Q,La Trattoría di Aluche,3.0,"Calle de Illescas, 98, 28047 Madrid, Spain",Pizza Italian ,,la-trattoría-di-aluche-madrid-3,https://s3-media3.fl.yelpcdn.com/bphoto/8hDZeyHU6WaZIwBTpIK-KA/o.jpg,False,1,40.38987,-3.75272,"{'address1': 'Calle de Illescas, 98', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28047', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Illescas, 98', '28047 Madrid', 'Spain']}",+34 917 19 67 86,,,[],,,,,,,
6,r_GxGIW3uxzkIwH_QYvlCQ,El Timón del Terraza,4.5,"Calle de Camarena, 254, 28047 Madrid, Spain",Arroceria / Paella Mediterranean ,,el-timón-del-terraza-madrid-2,https://s3-media1.fl.yelpcdn.com/bphoto/tZxAM6F-ySlNrhQFvv10cw/o.jpg,False,3,40.38679,-3.75789,"{'address1': 'Calle de Camarena, 254', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28047', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Camarena, 254', '28047 Madrid', 'Spain']}",+34 917 18 16 50,,,[],,,,,,,
7,OaGRD57zW2JTtoJGrnDXRA,Acueducto,4.0,"Calle de Camarena, 280, 28047 Madrid, Spain",Tapas Bars ,,acueducto-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/8WdB67ELNQDpg8kVYDrK2g/o.jpg,False,4,40.38753,-3.75658,"{'address1': 'Calle de Camarena, 280', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28047', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Camarena, 280', '28047 Madrid', 'Spain']}",+34 917 17 38 48,€,,[],,,,,,,
8,3EaO944TJqBk4wMzH8MUIg,Punto de Encuentro,4.5,"Calle de Maqueda, 136, 28024 Madrid, Spain",Tapas Bars Pubs ,,punto-de-encuentro-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/b8eYjFpsc2_qtdCtyoD-Wg/o.jpg,False,8,40.38737,-3.761658,"{'address1': 'Calle de Maqueda, 136', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28024', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Maqueda, 136', '28024 Madrid', 'Spain']}",+34 917 19 48 05,€,,[],,,,,,,
9,akN8jzwtWRnxlU8mgTQBmg,Novecento,4.5,"Calle de Camarena, 107, 28047 Madrid, Spain",Italian Pizza ,,novecento-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/9vv0FVRnABwoYV0l04GTOA/o.jpg,False,2,40.39211,-3.7553,"{'address1': 'Calle de Camarena, 107', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28047', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Camarena, 107', '28047 Madrid', 'Spain']}",+34 917 19 06 30,,,[],,,,,,,
