,id,name,rating,address,description,review,alias,image_url,is_closed,review_count,latitude,longitude,location,display_phone,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,P5UO2ezVc6K-VywZECXWJA,La Mordida,5.0,"Calle de Pío Baroja, 9, 28009 Madrid, Spain",Mexican ,"Boy the Yelp reviews on this restaurant was spot on!  We wanted Mexican food so bad!  We discovered that this restaurant wasn't close and that we had to.... yes yes yes praise the people of madrid. this is the best place. the nachos and fajitas were incredible. look no further, come here for the best meal ever..... This is some of the BEST Mexican food. I'm from the South Western United States and would consider myself a Mexican food connoisseur and this is atop my.... ",la-mordida-madrid-6,https://s3-media2.fl.yelpcdn.com/bphoto/9ysMPOagR9Lt8z7blfipGw/o.jpg,False,10,40.413701262247,-3.67382481252218,"{'address1': 'Calle de Pío Baroja, 9', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28009', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Pío Baroja, 9', '28009 Madrid', 'Spain']}",+34 915 73 95 54,€€,,[],,,,,,,
1,oIjLFTb7XpxL06QJrYC1rg,La Castela,5.0,"Calle del Dr. Castelo, 22, 28009 Madrid, Spain",Spanish Tapas/Small Plates ,"First dinner in Madrid.

Looks small from the street entrance but there are dining tables in the rear of the bar.

We walked in at 10pm (prime dinner time).... Definitely the best tapas restaurant we visited this week.  Service was great with very friendly staff happy to help us with menu.  Food was really good..... Excellent old  Madrid classic. Well known and loved by Madrid connoisseurs; and a celebrities spot since Michell Obama dinned here. The food is consistently.... ",la-castela-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/LhdshKoiBAOiQ8dhtWgVWg/o.jpg,False,33,40.4203,-3.67666,"{'address1': 'Calle del Dr. Castelo, 22', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28009', 'country': 'ES', 'state': 'M', 'display_address': ['Calle del Dr. Castelo, 22', '28009 Madrid', 'Spain']}",+34 915 73 55 90,€€€,,[],,,,,,,
2,0jh4q_KpW13Qysi_uodphg,Don Giovanni,5.0,"Paseo de la Reina Cristina, 23, 28014 Madrid, Spain",Italian ,"Honestly have had better Italian food at the worst Italian places in the middle of nowhere America. 


The service was meh--asked for a beer and never.... My husband and I were so excited about the delicious food that I didn't take pictures.  The Fantasia salad is a magical way to serve a salad--try it for.... We got the Carpaccio di bresaola, Tagliatelle al salmone and Tortelli Nicholas. Everything was delicious! Friendly and attentive staff. If you're in the.... ",don-giovanni-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/uYbVcDibAZ4FRSif1PNEdQ/o.jpg,False,17,40.4073,-3.68047,"{'address1': 'Paseo de la Reina Cristina, 23', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28014', 'country': 'ES', 'state': 'M', 'display_address': ['Paseo de la Reina Cristina, 23', '28014 Madrid', 'Spain']}",+34 914 34 83 38,€€€,,[],,,,,,,
3,Y0X2-ZKBVK8v-AHjWbOODg,O'Grelo,5.0,"Calle de Menorca, 39, 28009 Madrid, Spain",Seafood Galician Tabernas ,"We found this restaurant by luck and we end up loving the place. The service was amazing, very nice and helpful. We didn't have a reference on what to order.... Last night in Madrid and last night of our 1 week trip. We happened to pass this place on our way to another restaurant and the fresh seafood on the window.... Excellent food, especially the callo and pulpo. Wonderful service. Friendly and patient waiters. Place was packed with locals.  One of our best meals..... ",o-grelo-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/DkgSIVHU1B_4y33_v11WRg/o.jpg,False,16,40.4194579,-3.6748586,"{'address1': 'Calle de Menorca, 39', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28009', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Menorca, 39', '28009 Madrid', 'Spain']}",+34 914 09 72 04,€€€,,[],,,,,,,
4,iP2cO4-sh3VpBPf1PzEV2A,Levél,5.0,"Avenida de Menéndez Pelayo, 61, 28009 Madrid, Spain",Vegan Vegetarian Live/Raw Food ,"Very good experience and friendly service.

We ordered the falafel, lasagna and crepes for dinner and then had the carrot cake and strawberry kisses for.... Wow is all I can say.  This place is amazing.  The food is innovative and what I would consider high cuisine.  I hope this restaurant becomes the standard.... A clean, modern, attractive decor; very helpful waiter (thanks Pablo), and exquisite, delicious food.  Whether you are vegetarian or not, you'll love their.... ",levél-madrid-2,https://s3-media2.fl.yelpcdn.com/bphoto/pIBVqkgT5akqdGMs13JAsQ/o.jpg,False,6,40.4156643421296,-3.67763467546308,"{'address1': 'Avenida de Menéndez Pelayo, 61', 'address2': None, 'address3': '', 'city': 'Madrid', 'zip_code': '28009', 'country': 'ES', 'state': 'M', 'display_address': ['Avenida de Menéndez Pelayo, 61', '28009 Madrid', 'Spain']}",+34 911 27 57 52,€€€,,[],,,,,,,
5,tBqhKqy-zswKGa0wM6DUAQ,La Montería,5.0,"Calle de Lope de Rueda, 35, 28009 Madrid, Spain",Spanish Tapas/Small Plates ,"Decided to try based on yelp reviews and interesting menu. We started with appetizers: Gambas (shrimp) and mushrooms with truffle. I had monkfish, my.... I adored being here while going out on Saturday night in Madrid.
What a wonderful place to start with the name: the city I grew up in Colombia, S.A.
Staff.... Had a wonderful dinner there last night (Friday). I arrived about 7:30, hoping to get a seat before the crowd got there. I'm glad I did. When I walked in,.... ",la-montería-madrid-2,https://s3-media1.fl.yelpcdn.com/bphoto/Jl2KGt0dwQ71mPzExdUcGw/o.jpg,False,15,40.42027,-3.67752,"{'address1': 'Calle de Lope de Rueda, 35', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28009', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Lope de Rueda, 35', '28009 Madrid', 'Spain']}",+34 915 74 18 12,€€,,[],,,,,,,
6,fHMVzDk7OgGGQsU-bJZn2A,Carlos Tartiere,5.0,"Calle de Menorca, 35, 28009 Madrid, Spain",Spanish Asturian Tapas/Small Plates ,"The best fabada in Madrid? Probably not. But sublime anyway. The atmosphere is great, and the cider is really good. Be prepared, the cider is funky by.... Excellent food! Incredible service! We were treated with free chorizo pies, free pumpkin soup, free postre chupitos, amazing atmosphere! I will definitely.... ",carlos-tartiere-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/LROA-NckWfg2q3weKnKsjQ/o.jpg,False,12,40.41945,-3.67502,"{'address1': 'Calle de Menorca, 35', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28009', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Menorca, 35', '28009 Madrid', 'Spain']}",+34 915 73 43 33,€€€,,[],,,,,,,
7,eSFGeQ1cm_rZ7RSfI_vHJg,El Perro y La Galleta,5.0,"Calle de Claudio Coello, 1, 28009 Madrid, Spain",Tapas/Small Plates ,"we got dinner here after spending the afternoon at el retiro, a massive public park w fountains, gardens, and a boating lake. the interior was so charming.... So we ate at El Per y la Galena in Malasaña, not in Chamberi, but I have a feeling all six locations are pretty similar.

This is a white table cloth.... Excellent food. We had 4 appetizers and 3 main courses. All good for sharing. I need to go back for more. Try the eggplant and the duck tacos and the.... ",el-perro-y-la-galleta-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/EacDn4LQfskepOIj1SHNhA/o.jpg,False,14,40.4205284,-3.68735,"{'address1': 'Calle de Claudio Coello, 1', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28009', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Claudio Coello, 1', '28009 Madrid', 'Spain']}",+34 606 82 24 21,€€€,,[],,,,,,,
8,NYihYx0PUzy9ggp24z1PkA,Pazo Coruña,5.0,"Calle de Pío Baroja, 6, 28009 Madrid, Spain",Galician ,"A dependable, traditional restaurant with professional, European-style service, excellent food, cocktails and a nice wine list. Their specialties are.... Excellent food and ambiance. Our chef friend from Barcelona recommended this place. We were very happy with the food. The staff was incredibly friendly and.... ",pazo-coruña-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/D99lWG-OV3RNrfO6HqIycA/o.jpg,False,4,40.4156484,-3.6745019,"{'address1': 'Calle de Pío Baroja, 6', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28009', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Pío Baroja, 6', '28009 Madrid', 'Spain']}",+34 915 04 44 53,€€,,[],,,,,,,
9,f9QVrN0RPs1-AUs2wVNzzQ,Couzapin,5.0,"Calle de Menorca, 33, 28009 Madrid, Spain",Spanish Tapas Bars Asturian ,"This is an Asturian restaurant with fresh products from the north. When you enter beefier reaching the bar there are some tables for clients. Then you're.... Came here for dinner because I was really craving something and this was nearby. I ordered the croquetas con jamon y patatas cabrales. The croquetas were.... We had the best lunch at this Asturian restaurant. It's away from the usual tourist haunts, and the staff didn't speak much English, but the menu did offer.... ",couzapin-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/Lk_ksyYK-9WNzLY4P8QBnQ/o.jpg,False,12,40.41948,-3.67525,"{'address1': 'Calle de Menorca, 33', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28009', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Menorca, 33', '28009 Madrid', 'Spain']}",+34 914 00 93 55,€€,,[],,,,,,,
