,id,name,alias,categories,description,latitude,longitude,address,phone,rating,review_count,review,url,image_url,is_closed,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,JmS441MLsvUvMWtYjpvNqA,Burrito,burrito-madrid,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'fooddeliveryservices', 'title': 'Food Delivery Services'}, {'alias': 'burgers', 'title': 'Burgers'}]",Pizza Food Delivery Services Burgers ,40.3655199,-3.62004,"Calle de la Alameda del Valle, 36, 28031 Madrid, Spain",+34628161620,4.0,6,,https://www.yelp.com/biz/burrito-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media2.fl.yelpcdn.com/bphoto/1rKp_e7ng0xDYlKfXMV5uw/o.jpg,False,€,,[],,,,,,,
1,i2FF0Ma1UD7x_pdv_34HLw,La Cepa,la-cepa-madrid-2,"[{'alias': 'steak', 'title': 'Steakhouses'}]",Steakhouses ,40.37847,-3.60649,"Calle Poza de la Sal, 20, 28031 Madrid, Spain",+34913318650,5.0,4,,https://www.yelp.com/biz/la-cepa-madrid-2?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media4.fl.yelpcdn.com/bphoto/ZJf2-R3akZPfIgn9wWUq-w/o.jpg,False,,,[],,,,,,,
2,Q1lL7P9fVmXdxfyi6J7ZiA,Vicus,vicus-madrid-2,"[{'alias': 'tapas', 'title': 'Tapas Bars'}]",Tapas Bars ,40.40191,-3.6056,"Plaza de Don Antonio de Andrés, 5, 28032 Madrid, Spain",+34689474073,4.5,7,,https://www.yelp.com/biz/vicus-madrid-2?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media3.fl.yelpcdn.com/bphoto/fXKy2vyfrMDXgAuAb8KT2Q/o.jpg,False,€,,[],,,,,,,
3,7eC08XFhvEt-zGcArRaojA,Xing,xing-madrid,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",Dim Sum Asian Fusion ,40.370836,-3.613179,"Avenida del Ensanche de Vallecas, 9, 28051 Madrid, Spain",+34914257409,4.0,4,,https://www.yelp.com/biz/xing-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media1.fl.yelpcdn.com/bphoto/nK4nYF64sDJAXAKMlnzwdA/o.jpg,False,,,[],,,,,,,
4,8u_I_ZrHeB43pOTAHKDI7w,Churrería el Café de las Flores,churrería-el-café-de-las-flores-madrid,"[{'alias': 'cafeteria', 'title': 'Cafeteria'}]",Cafeteria ,40.3694478265892,-3.61062079668045,"Avenida Ensanche de Vallecas, 29, 28031 Madrid, Spain",+34617421398,4.0,3,,https://www.yelp.com/biz/churrer%C3%ADa-el-caf%C3%A9-de-las-flores-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media1.fl.yelpcdn.com/bphoto/JWfaXOiWaHFhZQpuJNIt1g/o.jpg,False,,,[],,,,,,,
5,RMopiQif9rAS1aecdSOZYw,El Mantel,el-mantel-madrid,"[{'alias': 'spanish', 'title': 'Spanish'}]",Spanish ,40.3722922,-3.6180375,"Calle del Puerto de Galapagar, 11, 28031 Madrid, Spain",,5.0,1,,https://www.yelp.com/biz/el-mantel-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media4.fl.yelpcdn.com/bphoto/-9EpE4JeYxs4Um-PtfgZjw/o.jpg,False,€€,,[],,,,,,,
6,mOBs0k8OReMxGL5FG1Fesw,El Águila,el-águila-madrid-4,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",Spanish Wine Bars ,40.401595039571,-3.60712162949983,"Calle del Lago Como, 2, 28032 Madrid, Spain",+34917765159,4.5,3,,https://www.yelp.com/biz/el-%C3%A1guila-madrid-4?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media2.fl.yelpcdn.com/bphoto/rS_VrmypO3K_WQO32tilcw/o.jpg,False,€€,,[],,,,,,,
7,RBGYWNeQ1y52xFD5GpoK7g,La Rotonda de Peñaranda,la-rotonda-de-peñaranda-madrid-2,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",Spanish Tapas Bars ,40.3713919281082,-3.60763518890809,"Calle de Entrepeñas, 46, 28051 Madrid, Spain",+34914943767,5.0,1,,https://www.yelp.com/biz/la-rotonda-de-pe%C3%B1aranda-madrid-2?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media2.fl.yelpcdn.com/bphoto/UP8T2IQN3EfIjrtM88sefw/o.jpg,False,€,,[],,,,,,,
8,7jzV7pxSIF11wi73ovJbGQ,Peggy Sue's,peggy-sues-madrid-6,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]",American (Traditional) ,40.36745,-3.60066,"Avenida de las Suertes, 60, 28051 Madrid, Spain",+34911729030,4.0,1,,https://www.yelp.com/biz/peggy-sues-madrid-6?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media3.fl.yelpcdn.com/bphoto/moussAsD4tJaxpztsQ62pQ/o.jpg,False,,,[],,,,,,,
9,gtGMbMmX0_9bEiSyaXJrwg,GO! Sushing,go-sushing-madrid-11,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",Sushi Bars Japanese ,40.3662273401716,-3.60336027976223,"Calle de José Gutierrez Maroto, 22-26, 28031 Madrid, Spain",+34914946167,4.0,1,,https://www.yelp.com/biz/go-sushing-madrid-11?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media2.fl.yelpcdn.com/bphoto/F-9LMRrzhhOwwNmTAueR-g/o.jpg,False,,,[],,,,,,,
10,Am08AJV8RW4jxfLKOj92fA,La Merced,la-merced-vallecas,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",Spanish Tapas/Small Plates ,40.37965,-3.62292,"Calle de Manuel Vélez, 8, 28031 Vallecas, Spain",+34913035111,4.5,3,,https://www.yelp.com/biz/la-merced-vallecas?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,,False,€€,,[],,,,,,,
11,KEdeJiBd_Bh08i9JQMQmcQ,Marotte,marotte-madrid,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tea', 'title': 'Tea Rooms'}]",Desserts Breakfast & Brunch Tea Rooms ,40.3665967,-3.600178,"Calle de José Tamayo, 17, 28031 Madrid, Spain",+34912194207,5.0,2,,https://www.yelp.com/biz/marotte-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media2.fl.yelpcdn.com/bphoto/E_H3jaqWGjLyrzJVe_kriA/o.jpg,False,,,[],,,,,,,
12,JifyvVxdTJIQypx_4NBA1w,Friday's,fridays-madrid-3,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'burgers', 'title': 'Burgers'}]",American (Traditional) Burgers ,40.369126,-3.59799,"Calle Adolfo Bioy Casares, 37, 28031 Madrid, Spain",+34636727799,2.5,3,,https://www.yelp.com/biz/fridays-madrid-3?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media1.fl.yelpcdn.com/bphoto/klP2d6W7ORNmNaBS4VmLGg/o.jpg,False,€€,,[],,,,,,,
