,id,name,rating,address,description,review,alias,image_url,is_closed,review_count,latitude,longitude,location,display_phone,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,yfAkzxyhNlJvuXbrPAvd5w,El Barril,5.0,"Calle Recoletos, 9, 28001 Madrid, Spain",Spanish Seafood ,"One word. SQUID. Actually...not squid, CUTTLEFISH. (Bc they are different now that I looked it up on google.) Get the grilled cuttlefish with garlic salt..... We loved this place in the quiet of August.  The grilled squid was tender and so tasty and we've had alot of squid. The garlic monkfish was also delicious.... Ecellent place for seafood. They open for late lunch on Sunday which is great when your traveling. Food is top notch. The ham (jabugo) in this seafood place.... ",el-barril-madrid-5,https://s3-media1.fl.yelpcdn.com/bphoto/BQP51fMvigeH4QVuWW_S-g/o.jpg,False,21,40.42199,-3.69023,"{'address1': 'Calle Recoletos, 9', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28001', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Recoletos, 9', '28001 Madrid', 'Spain']}",+34 914 36 11 01,€€€,,[],,,,,,,
1,eOKHbos7BlTOPQ9Ohq25vQ,New York Burger,2.0,"Calle de Recoletos, 4, 28001 Madrid, Spain",Burgers ,"I'm so sorry I cannot give 5 stars to this place but after tasting a bunch of over-the-average burgers while I was in the US this is not that impressive....... Nice people. Delicious Burgers- and the pulled pork. Never expected it to be so good. French fry's beer and cheesecake. Great snack.. This place looks amazing!  Bustling atmosphere, great concept, excellent menu .... Unfortunately it fell flat. 

I ordered a Queens Burger medium well ....... ",new-york-burger-madrid-2,https://s3-media2.fl.yelpcdn.com/bphoto/xUiRBuyu5TwuUGWDtKXfDw/o.jpg,False,50,40.4221,-3.69082,"{'address1': 'Calle de Recoletos, 4', 'address2': None, 'address3': '', 'city': 'Madrid', 'zip_code': '28001', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Recoletos, 4', '28001 Madrid', 'Spain']}",+34 914 31 84 17,€€,,[],,,,,,,
2,giQvWtaDy24UfPhrkLKtlw,Tampu,5.0,"Calle de Prim, 13, 28004 Madrid, Spain",Peruvian Signature Cuisine Tapas Bars ,"I'm writing the review months after going so I can't remember everything we got-- ceviche on lower left is all I remember. However I do remember this being.... I was walking by and saw the sign Michelin guide 1 star.  I said to myself, let's cancel the resevation at la primera ( amazing restaurant ) and lets try.... Absolutely fantastic restaurant. I have never had authentic Peruvian food before but my friend who lived there for a summer thought that this restaurant was.... ",tampu-madrid-2,https://s3-media2.fl.yelpcdn.com/bphoto/Swbj6_ejd_R_oOl5my8JwA/o.jpg,False,11,40.42195,-3.69347,"{'address1': 'Calle de Prim, 13', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28004', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Prim, 13', '28004 Madrid', 'Spain']}",+34 915 64 19 13,€€€,,[],,,,,,,
3,yjGE3mlUOvJfTDZecObTHg,Celso y Manolo,5.0,"Calle de la Libertad, 1, 28004 Madrid, Spain",Tapas Bars Spanish ,Oh my goodness this place was adorable. We ate here our first night in Madrid. The service was fabulous and the food was amazing!!! We are still talking.... Ate here Aug 2022 and thought it was good but definitely more on the pricey side than other restaurants we went in Madrid. Since it's such highly rated on.... With such great yelp reviews we wanted to check out this restaurant on our last night in Madrid! We were lucky to get a reservation. This restaurant is very.... ,celso-y-manolo-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/xYQ_MCAaJH4bHmWzRIO8Uw/o.jpg,False,189,40.420185,-3.6974769,"{'address1': 'Calle de la Libertad, 1', 'address2': None, 'address3': '', 'city': 'Madrid', 'zip_code': '28004', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de la Libertad, 1', '28004 Madrid', 'Spain']}",+34 915 31 80 79,€€,,[],,,,,,,
4,yhd4UzBFydMizG6MMLjF6w,Food Truck,5.0,"Calle San Lucas, 11, 28004 Madrid, Spain",American (Traditional) Burgers ,"Un gran descubrimiento.
Los cheese ticks estaban riquísimos y la burger de costillas una pasada.
Un sitio altamente recomendable.. ",food-truck-madrid-2,https://s3-media1.fl.yelpcdn.com/bphoto/RfDa4fRNLD5DuJ3TwdlWlA/o.jpg,False,33,40.42375,-3.69618,"{'address1': 'Calle San Lucas, 11', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28004', 'country': 'ES', 'state': 'M', 'display_address': ['Calle San Lucas, 11', '28004 Madrid', 'Spain']}",+34 911 89 36 96,€€,,[],,,,,,,
5,gdFMBW7pQtHTe6HYazCC6w,Ten con Ten,5.0,"Calle de Ayala, 6, 28001 Madrid, Spain",Modern European ,"This place came highly recommended by a friend who had just visited Madrid on his honeymoon--and it did not ​. The atmosphere was an intimate setting, yet.... Because, Madrid, in reality, is nothing special. It does not have a great river, and hardly any skyscrapers. No channels, no lakes. Neither glorious ruins,.... We visited this restaurant because it was highly recommended by a friend and it didn't disappoint. We had a great meal and service was outstanding.  We.... ",ten-con-ten-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/kfmmQ0_bpqioyMxRPiKKgQ/o.jpg,False,175,40.42795714,-3.68870527,"{'address1': 'Calle de Ayala, 6', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28001', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Ayala, 6', '28001 Madrid', 'Spain']}",+34 915 75 92 54,€€€,,[],,,,,,,
6,S3HsBJbH61RrmurxxWflKA,La Galette 2,5.0,"Calle de Bárbara de Braganza, 10, 28004 Madrid, Spain",Modern European Breakfast & Brunch ,"My love affair with La Casa Escondida goes back many a year, to when I was first studying abroad in Spain. Our host mom regularly took us here and it was.... Nice restaurant with a pleasant atmosphere. The dishes are good, we tried croquetas, pulpo, bacalao and a tofu burger. 
However the service was very poor,.... We were meeting my family in Madrid and wanted something Spanish, but edgy. After checking into the hotel we stumbled upon this gem! We were the only.... ",la-galette-2-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/l9VJFn8q7d6uAzhFPneKhg/o.jpg,False,13,40.42336,-3.69274,"{'address1': 'Calle de Bárbara de Braganza, 10', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28004', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Bárbara de Braganza, 10', '28004 Madrid', 'Spain']}",+34 913 19 31 48,€€,,[],,,,,,,
7,kc7nhy-PJ5P8c0E2tb_byA,Flavia,4.0,"Calle Gil de Santivañes, 2, 28001 Madrid, Spain",Italian Pizza Bars ,"Ooooh Flavia was beyond perfect!
I had the truffle butter pasta with prawns and omg it was to die for! My cousin had the lasagna and said that also was.... I went to this restaurant due to the high reviews in yelp. This is one of the very few times where I got bad food from a great yelp score (also high in trip.... Excellent ambiance and atmosphere. We ordered two pasta dishes and both were very good. Service could improve though.. ",flavia-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/iORo6qPjRVANvjBQcBMZAg/o.jpg,False,45,40.42239,-3.68959,"{'address1': 'Calle Gil de Santivañes, 2', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28001', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Gil de Santivañes, 2', '28001 Madrid', 'Spain']}",+34 914 93 90 51,€€,,[],,,,,,,
8,J-ARIJinvKKzbmFWF65SWQ,Café Gijón,4.0,"Paseo de Recoletos, 21, 28004 Madrid, Spain",Coffee & Tea Spanish ,"Allegedly, the oldest cafe in Madrid. I stopped in this morning for a coffee because my hotel room probably wasn't going to be ready to check-in.

Neat vibe.... Oldest cafe in Madrid and a very lovely one at that! Cafe Gijon was on my list of places to try in Madrid because it was the oldest. I started off my.... This is a lovely old restaurant and seating outdoors on the grass meridian is perfect for a warm Madrid night.. ",café-gijón-madrid-3,https://s3-media2.fl.yelpcdn.com/bphoto/eYbQ_rOzzBk-2HfM4dsAnA/o.jpg,False,38,40.42223,-3.69233,"{'address1': 'Paseo de Recoletos, 21', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28004', 'country': 'ES', 'state': 'M', 'display_address': ['Paseo de Recoletos, 21', '28004 Madrid', 'Spain']}",+34 915 21 54 25,€€,,[],,,,,,,
9,uqBOHaIpdPvUkB0Gb6NZ1w,El Paraguas,1.0,"Calle de Jorge Juan, 16, 28001 Madrid, Spain",Spanish Asturian ,"The restaurant offers an elegant and formal ambience with a great atmosphere and professional and customer service driven professionals in the food.... I would highly discourage anyone from eating at El Paraguas while visiting Madrid, despite the oddly high ratings. Clearly the customers who have reviewed.... Tiene trenta minutos Para conseguir agua...servicio muy mal,  comida nada especial y cara. Buenos noches!! Nunca volver.. ",el-paraguas-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/AlXKZBdm659SkFDTfFqOfA/o.jpg,False,55,40.4237396136235,-3.68582059325423,"{'address1': 'Calle de Jorge Juan, 16', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28001', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Jorge Juan, 16', '28001 Madrid', 'Spain']}",+34 914 31 59 50,€€€,,[],,,,,,,
