,id,name,alias,categories,description,latitude,longitude,address,phone,rating,review_count,review,url,image_url,is_closed,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,GBDHMbAOJ5xICFF95Z5HfQ,Kathmandu Tandoori House,kathmandu-tandoori-house-madrid,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'pakistani', 'title': 'Pakistani'}, {'alias': 'himalayan', 'title': 'Himalayan/Nepalese'}]",Indian Pakistani Himalayan/Nepalese ,40.47426,-3.57859,"Calle Acuario, 11, 28042 Madrid, Spain",+34911269719,5.0,21,"Great option for Indian and nepali food. The chicken momos were excellent and the sauce that comes with them was stellar. 
Chicken biryani was also good,.... What a wonderful surprise to be in a neighborhood near the Madrid neighborhood & to find excellent India/Nepali food! Very delicious with attentive service.. I had the tikka masala and tandoori chicken.  Both were very very good!  The host was very nice and helpful. It's a quiet neighborhood restaurant with.... ",https://www.yelp.com/biz/kathmandu-tandoori-house-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media2.fl.yelpcdn.com/bphoto/sS8gTXlL5Z6x9O3DzPJvUA/o.jpg,False,,,[],,,,,,,
1,oPERop8gNCRC9LmbaXV46w,La General,la-general-madrid,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",Pizza Bakeries ,40.4706199,-3.58068,"Calle Planeta, 3, 28042 Madrid, Spain",+34916035701,5.0,12,"Man,  even when looking for good eats internationally Yelpers come to the rescue 

Was on a layover awaiting a flight home from Madrid's Barajas airport and.... Great option when in transit close to Madrid Barajas airport. Food was good, service was friendly and price was reasonable. 
We had a party of 7, and.... What a great little spot almost right across the street from the Ibis Hotel Barajas. I had the mango curry chicken at my server's recommendation and it was.... ",https://www.yelp.com/biz/la-general-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media2.fl.yelpcdn.com/bphoto/Nq9scW8nAou4eoCNYM9wJQ/o.jpg,False,,,[],,,,,,,
2,4NyuSViM9LOFVYuMTZRmTw,Al Traste Fun And Food,al-traste-fun-and-food-madrid,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",Burgers Pizza Sandwiches ,40.470543,-3.580493,"Avenida General, 47, 28042 Madrid, Spain",+34913293799,4.0,20,"For me the best place in the area. 
Really good meat and very good service. 
Nice beers. 
Go for the grilled meat!
Also with extended hours which is very.... We were staying in a cheap hotel up the street and were flying out or Madrid airport the next day. This was close to the hotel so we decided to give it a.... On the last night of a two week holiday in Spain we checked into a typical airport area hotel and ventured out for one last dinner in Madrid. We slid Into.... ",https://www.yelp.com/biz/al-traste-fun-and-food-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media2.fl.yelpcdn.com/bphoto/ORQsb1IUfXia_pX-7hNA3w/o.jpg,False,€€,,[],,,,,,,
3,rqy1GJvR3S-ZEqXO8xlpwg,La Torino,la-torino-madrid,"[{'alias': 'argentine', 'title': 'Argentine'}]",Argentine ,40.4739362413989,-3.57743918895721,"Plaza Hermanos Falco, 4, 28042 Madrid, Spain",+34913054099,5.0,5,I've eaten here twice while in Bajaras.  The first time I had the stuffed sea bass which was amazing.  The second time I had  the mixed salad and oxtail.... I loved this place! I had a few hour layovers in Madrid. It's about a 9 minute Uber ride from the airport. So if you have a bit of time between flights it's.... Loved this place! We had an unremarkable dinner and were looking for somewhere to celebrate the end of our 10 days in Spain. The staff were so friendly and.... ,https://www.yelp.com/biz/la-torino-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media3.fl.yelpcdn.com/bphoto/J3bScQ0Y2zgfJyEqgJZBRQ/o.jpg,False,€€,,[],,,,,,,
4,s4OrjgdBgEWM-g6zpzedrA,Campanilla,campanilla-madrid,"[{'alias': 'spanish', 'title': 'Spanish'}]",Spanish ,40.47265,-3.58163,"Avenida de Logroño, 132, 28042 Madrid, Spain",+34913290965,5.0,67,"Nos quedamos una noche en Barajas  y encontramos este pequeño restaurante familiar a través de Yelp. Fue una experiencia inolvidable! La comida fue.... This was our last night in Spain. We needed a meal within walking distance from the airport hotel. We did not expect to have the most memorable of our.... Such a great experience.  I am from Louisville, KY - the food was great.  Great wine.  Very authentic!  Would absolutely go back.. ",https://www.yelp.com/biz/campanilla-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media2.fl.yelpcdn.com/bphoto/H3cl_VSVeqMGW-8qLaECJA/o.jpg,False,€,,[],,,,,,,
5,dnSMbNWIwcOrr71W4tkrHA,Asador Nuevo Porche,asador-nuevo-porche-madrid,"[{'alias': 'steak', 'title': 'Steakhouses'}]",Steakhouses ,40.47091,-3.5826,"Calle Alaro, 5, 28042 Madrid, Spain",+34917478144,5.0,8,"All things are perfect. Food is fantastic. The boss is kindly and friendly. Wine is tasted smoothy and also more beer. Quite a good representative of the traditional ""asador"" (rosters) tradition in Spain. Impressive interior reproducing a Basque vernacular farm house. With.... We had an amazing time. Food was excellent and the service was tremendous. Our server was very helpful and even the owner attended us. If you want a good.... ",https://www.yelp.com/biz/asador-nuevo-porche-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media1.fl.yelpcdn.com/bphoto/u0mVWHcpE4lAZ5rQ-Xds8g/o.jpg,False,€€€,,[],,,,,,,
6,aJGG9mhTNK2WYUOyEWc3lQ,Bahía Taberna,bahía-taberna-madrid,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'tabernas', 'title': 'Tabernas'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",Mediterranean Tabernas Cocktail Bars ,40.4637733471259,-3.59229457539368,"Calle de la Bahía de Palma, 9, 28042 Madrid, Spain",+34917476944,4.0,15,"OMG!! 
I stopped in for a glass of wine. I'm vegan and figured they didn't gave anything but asked if they could make a salad. Wow wow wow!! The chef made.... Absolutely delicious food! Perfect pit stop on the way to the airport, residential location therefore it's very quiet. Great selection of beers, there's.... Suprise! Suprise! You may think that what in the world this restaurant is doing in this part of city. And you are right, there is no explanation. In any.... ",https://www.yelp.com/biz/bah%C3%ADa-taberna-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media3.fl.yelpcdn.com/bphoto/Q98wzHhdLBE-lsKu7fVr2Q/o.jpg,False,€€€,,[],,,,,,,
7,2f0zjZAnAD5iwtjGjjm_vQ,La Latina,la-latina-madrid-4,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}]",Gastropubs ,40.4733697148819,-3.58184965358426,"Av. de Logroño, 144, 28042 Madrid, Spain",+34912976068,5.0,9,"This is a nice little charming restaurant in Barajas.  I was really happy with the quality of the food and how flavorful it was.  I walked by the night.... In the Madrid airport area for one evening ahead of a flight the next day and staying down the street at the Clement Barajes Hotel.

On a Saturday night, I.... A great place for lunch! A delicious salad, a main course, a bottle of pineapple juice and a tasty pudding only cost me 10 euros altogether. Their dishes.... ",https://www.yelp.com/biz/la-latina-madrid-4?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media2.fl.yelpcdn.com/bphoto/IcWindERzCi4GEDzkI-xnw/o.jpg,False,€,,[],,,,,,,
8,K04mIcUwP0D3fAUj05WCXQ,La Vina de Nerea,la-vina-de-nerea-madrid,"[{'alias': 'spanish', 'title': 'Spanish'}]",Spanish ,40.472952664342,-3.58067329372439,"Avenida de Logrono, 128, 28042 Madrid, Spain",+34913057206,4.0,4,"Very friendly and casual.  Quick service. Nice wine selection at reasonable prices and excellent tapas. A great place to unwind after a busy day of.... Outstanding tapas. I let the wait staff choose as I could not make out one from another. Must try the croquette, Spanish ham and a fish pâté. Try the house.... Was staying in nearby airport hotel for flight out next day. About a ten minute walk from TRYP Hotel is this lovely restaurant. Actually two restaurants in.... ",https://www.yelp.com/biz/la-vina-de-nerea-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media1.fl.yelpcdn.com/bphoto/8yAuMkyTX1yDUFYmtEKEjw/o.jpg,False,€€,,[],,,,,,,
9,opj_cFgt18TjKzpHtLTfGw,Martes 13,martes-13-madrid-2,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'spanish', 'title': 'Spanish'}]",Mediterranean Gastropubs Spanish ,40.4729,-3.58176,"Avenida de Logroño, 138, 28042 Madrid, Spain",+34917477969,5.0,3,This isn't just a casual five stars.  Completely legit.  Stunningly ridiculous.  Do not pass on the artichokes.  Best I've ever had.. ,https://www.yelp.com/biz/martes-13-madrid-2?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media4.fl.yelpcdn.com/bphoto/CqzS_yUJ2gvFTOp1a8tOkw/o.jpg,False,,,[],,,,,,,
