,id,name,alias,categories,description,latitude,longitude,address,phone,rating,review_count,review,url,image_url,is_closed,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,m-suxON2HwsWYImvTNX1Jw,Botín,botín-madrid-3,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'steak', 'title': 'Steakhouses'}]",Spanish Steakhouses ,40.41406,-3.70803,"Calle de Cuchilleros, 17, 28005 Madrid, Spain",+34913664217,3,648,"Historical restaurant that we felt honored to have dined here, in aug 2022.

The service was great. The friendly cute waiter even took a photo with.... MADRID - 05/07/23 - What makes Botin so special other than it's listed as the oldest restaurant in the world by the Guinness Book of World Records.  Botin.... We were here 4/20/23 with a reservation and were seated immediately. It was a little hot that day, so my fiancé wore a sleeveless tank. Ooops! Thankfully,.... ",https://www.yelp.com/biz/bot%C3%ADn-madrid-3?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media2.fl.yelpcdn.com/bphoto/UpGNFadPgTEYPK-d6ksxuQ/o.jpg,False,€€€,,[],,,,,,,
1,S-Md-BF6C53iB2OlB5BCww,Casa Lucas,casa-lucas-madrid,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",Tapas Bars Wine Bars ,40.412325,-3.709429,"Calle de la Cava Baja, 30, 28005 Madrid, Spain",+34913650804,5,157,"Great little tapas wine bar on Calle cava baja. Awesome food and great attentive services. We arrived shortly after 8:30pm and was seated right away. Within.... Very good tapas. Intimate setting, casual, family like, good service. Three tapas shared between two people, €31. We had a lovely time at Casa Lucas on a Sunday night.  Bartender Javier was a terrific guide. 

We started with vermú-- lovely vermouth on ice with a bit of.... ",https://www.yelp.com/biz/casa-lucas-madrid?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media4.fl.yelpcdn.com/bphoto/xqe6MvFLV0HEbE_M4pvwhA/o.jpg,False,€€,,[],,,,,,,
2,afcRqfWrcA1soyoNI__FRQ,Juana la Loca,juana-la-loca-madrid-2,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'spanish', 'title': 'Spanish'}]",Tapas/Small Plates Spanish ,40.4113584,-3.711094,"Plaza de Puerta de Moros, 4, 28005 Madrid, Spain",+34913640525,5,220,"This is my first meal in Spain, that is easily one of the best meals from the entire trip. The dining experience was fun, you can order food and drinks at.... Juana is hot and she knows it - a chic tapas and dinner spot near the main square and entertainment district of Madrid. The ideal situation is to get a.... This was the first meal I had while visiting Madrid, and it exceeded my expectations. 5 out of 5 pogs. 

The service was amazing. The staff was super.... ",https://www.yelp.com/biz/juana-la-loca-madrid-2?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media2.fl.yelpcdn.com/bphoto/NgunxElPzdU6f0ktiDoM7A/o.jpg,False,€€€,,[],,,,,,,
3,uHL7ravKYyrTl07fv_hfUg,Rosi La Loca,rosi-la-loca-madrid,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'spanish', 'title': 'Spanish'}]",Tapas Bars Spanish ,40.4158141746249,-3.70297881289753,"Calle de Cádiz, 4, 28012 Madrid, Spain",+34915326681,4,194,"Rosie La Loca is the result of someone saying ""how can make tapas fun, funky, and slightly fairytalish"".  They achieved their vision .   There is no moment,.... Super underrated here in Madrid. The first and last place for original Tapas. We accidentally stumbled in on this place and were blown away. Then traveled.... We went here our first night in Madrid after searching quickly for someplace to eat, and it was packed. If you want to eat inside, you have to make a.... ",https://www.yelp.com/biz/rosi-la-loca-madrid?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media3.fl.yelpcdn.com/bphoto/SN6sHZ3lOLs4rLEMBPoMkQ/o.jpg,False,€€€,,[],,,,,,,
4,iNtK9yWv7wOXaPai3uAv-g,InClan Brutal,inclan-brutal-madrid,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",Tapas Bars Mediterranean ,40.41508,-3.70192,"Calle Álvarez Gato, 4, 28012 Madrid, Spain",+34910238038,5,171,Amazing cocktails and good service!!!!! Also love their decor and fantastic cocktail menu.. This is a place you go for the atmosphere and for fun pictures. It is exactly what you expect. Every part of the restaurant is thought out. From the selfie.... How fun is this place?!? I am so glad I found this place on yelp. We were not hungry when we came in but needed a place to sit before heading to the.... ,https://www.yelp.com/biz/inclan-brutal-madrid?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media3.fl.yelpcdn.com/bphoto/qnACZF6n1EPH4hxd5XiVPQ/o.jpg,False,€€,,[],,,,,,,
5,ql9zlnKW4h_efrketA3Mrg,Chocolatería San Ginés,chocolatería-san-ginés-madrid-6,"[{'alias': 'chocolate', 'title': 'Chocolatiers & Shops'}, {'alias': 'churros', 'title': 'Churros'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",Chocolatiers & Shops Churros Breakfast & Brunch ,40.4167599,-3.7068,"Pasadizo de San Ginés, 5, 28013 Madrid, Spain",+34913656546,4,1333,"Before arriving in Madrid this March, the last time I had ingested a churro was probably in elementary school. My classmates and I all revered those rare.... I believe this place is slightly overhyped. The churros were crispy but have no other flavoring. 

The idea is to dip them into the chocolate cup that comes.... A must visit when you are in Madrid. This was certainly on my list of must try prior to arriving in Madrid and I'm glad we randomly stumbled across the.... ",https://www.yelp.com/biz/chocolater%C3%ADa-san-gin%C3%A9s-madrid-6?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media4.fl.yelpcdn.com/bphoto/hwpN-tb20RdF_V8jPlCvyQ/o.jpg,False,€,,[],,,,,,,
6,Hn7-q6opT1g7ZJoZ9ZpjzA,Metro Bistro,metro-bistro-madrid-5,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'signature_cuisine', 'title': 'Signature Cuisine'}]",Mediterranean Spanish Signature Cuisine ,40.414641,-3.706778,"Calle Imperial, 3, 28012 Madrid, Spain",+34913663319,5,34,"I highly recommend metro bistro because of their €39.5 7 course tasting menu. We started off with this incredible pumpkin soup with a strong cheese..... Siriloin steak too salty 
Too salty 
Potatoes gratin not good .
Very mediocre food 
Very disappointed. One of the best meals of my 8 day trip to Spain & Portugal! My friend met me in Madrid for the first night and we ended up at Metro Bistro after I found.... ",https://www.yelp.com/biz/metro-bistro-madrid-5?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media2.fl.yelpcdn.com/bphoto/uDgvjX7B0XO6pAjdhpExWg/o.jpg,False,€€,,[],,,,,,,
7,Bi0S0_Pf_KGuS0oDOkcBQA,Grazie Mille,grazie-mille-madrid,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]",Italian Pizza ,40.41611,-3.70744,"Calle Mayor, 31, 28013 Madrid, Spain",+34913645785,5,75,"Grazie Mille serves breakfasts that are over-the-top incredible!  If you're looking for a place where your tummy will be totally happy, then you need look.... Quick note before the review: This is not the same restaurant it used to be some years ago. Old 5-star reviews were well deserved by that time.

The food's.... Great food, and a cozy atmosphere in a very live location. It was a good  change of pace after a week of tapas. Definitely a must try!
Shout out to our.... ",https://www.yelp.com/biz/grazie-mille-madrid?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media4.fl.yelpcdn.com/bphoto/ld7vjexQbs9wfRj_tFYdEw/o.jpg,False,€€,,[],,,,,,,
8,ZIYLcIOrhGGHt-YoWFj_Iw,El Mesón del Champiñón,el-mesón-del-champiñón-madrid-3,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",Spanish Tapas Bars ,40.415006,-3.708161,"Calle Cava de San Miguel, 17, 28005 Madrid, Spain",+34915596790,3,102,"THE BIG: Best mushroom tapas place in Madrid!

THE BLACK AND WHITE: Small quaint spot that serves mushroom tapas. They say back then the matadors.... QUICKIE REVIEW
Get the mushrooms!

FOOD
This is what I tried:
Mushrooms

They advertise the mushrooms as their big attraction for a reason, it's delicious..... A pleasant little tapas place, with cellar decor (and fake mushrooms on the ceiling), sporting a guy playing an electric piano. The house mushrooms were.... ",https://www.yelp.com/biz/el-mes%C3%B3n-del-champi%C3%B1%C3%B3n-madrid-3?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media3.fl.yelpcdn.com/bphoto/Mi51STd0wYCzWKB2lJ4K-Q/o.jpg,False,€€,,[],,,,,,,
9,ObSKa7G0d3mO3eBYPSlPXw,La Gastro,la-gastro-madrid,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",Gastropubs Spanish Tapas Bars ,40.42129,-3.70289,"Calle del Barco, 7, 28004 Madrid, Spain",+34913642263,5,68,"Highly recommend for tapas and drinks!!

We found La Gastro on yelp since we were at a cafe close by and wanted to stop for dinner. They open at 9pm and.... Fusion of Spanish, Asian, Middle Eastern and Latin American influences - this is a gastronomical experience that blew our minds away. We tried the croqueta.... As Americans in Madrid who are not interested in tourist fare we wanted to get away from Gran Via. We read good reviews about La Gastro and gave it a shot..... ",https://www.yelp.com/biz/la-gastro-madrid?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media1.fl.yelpcdn.com/bphoto/9JvcVXExwTNtNjF3tmcc1A/o.jpg,False,€€,,[],,,,,,,
10,YpNh_7mig6NPm0o5nLRHiw,La Mi Venta,la-mi-venta-madrid,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'steak', 'title': 'Steakhouses'}]",Spanish Steakhouses ,40.4204554916193,-3.71240258216858,"Plaza de la Marina Española, 7, 28013 Madrid, Spain",+34915595091,5,106,"Delicious seafood paella and refreshing sangriaI usually don't like sangria, way too sweet in my palate but we trusted our waiter and tried it. Oh my gosh,.... Reseñas en español y ingles:

La Mi Venta is across the street from the National Palace (Palacio Real de Madrid), so it's near a very popular area of the.... Excellent restaurant close to the palace and Plaza de Espana. Come as a partty so you can order some of the larger peices of meat and paella, which serve.... ",https://www.yelp.com/biz/la-mi-venta-madrid?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media1.fl.yelpcdn.com/bphoto/l_lP74i4eETX8d6v4JnJSQ/o.jpg,False,€€€,,[],,,,,,,
11,moXcDch-ojjrT9nNNPkZgQ,Taberna del Chato,taberna-del-chato-madrid,"[{'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'tabernas', 'title': 'Tabernas'}]",Tapas/Small Plates Tabernas ,40.4148281386747,-3.70265081160892,"Calle Andrés Mellado 88, 28015 Madrid, Spain",+34674025969,4,77,"Highly recommended gastropub in Madrid. 

Tapas dishes classified in three price zones (2,80/3,80/4,80 Euros) plus some main dishes available.

Large wine.... Talberna del Chato is a small tapas bar located close to Puerta del Sol in the heart of Madrid. It offers a variety of unique and tasty dishes.

We walked.... (4.5 stars) Stumbled in here for lunch after struggling to find a place that could seat six late afternoon and so glad we did. All of the dishes we had were.... ",https://www.yelp.com/biz/taberna-del-chato-madrid?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media1.fl.yelpcdn.com/bphoto/vGq2sUJhFr6rwu4dZ1QxZg/o.jpg,False,€,,[],,,,,,,
12,TN6pOyrHDb1Gkvp7zgkYzA,Los Galayos,los-galayos-madrid,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'steak', 'title': 'Steakhouses'}]",Spanish Tapas Bars Steakhouses ,40.41486,-3.70669,"Calle de Botoneras, 5, 28012 Madrid, Spain",+34913663028,5,59,"Después de visitar el Palacio Real en Madrid me vine aquí a comer. Me encanto el lugar y el ambiente es muy bonito. Es un poco caro el restaurante pero.... This restaurant is decent, but nothing special. But the wine that we had was terrible. The food was decent but not exceptional. My wife and I shared a salad.... Incredible. Who would have thought that a restaurant so close to all the tourist destinations would be so good. The Cannolini was to die for. Great sauce.... ",https://www.yelp.com/biz/los-galayos-madrid?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media4.fl.yelpcdn.com/bphoto/F2IXfDDMMO1Cl1NcazfRFQ/o.jpg,False,€€,,[],,,,,,,
13,kn1xJTpGqE07p2fL5rnRaw,Casa Lucio,casa-lucio-madrid,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'basque', 'title': 'Basque'}]",Spanish Basque ,40.412065,-3.709717,"Calle de la Cava Baja, 35, 28005 Madrid, Spain",+34913653252,4,79,"Casa Lucio es un lugar encantador. Menú lleno de platos tradicionales y es todo una institución en Madrid. For a good meal in a nostalgic atmosphere, you'll want to check out Casa Lucio. It came recommended by a local, so we headed over. We did not make.... Casa Lucio has an elegant dining space on Calle de la Cava Baja.

Huevos Rotos is a simple dish with French fries, sunny side fried eggs, and salchichón.... ",https://www.yelp.com/biz/casa-lucio-madrid?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media4.fl.yelpcdn.com/bphoto/VmcfmYZT706VQ2JO_37a6A/o.jpg,False,€€€,,[],,,,,,,
