,id,name,alias,categories,description,latitude,longitude,address,phone,rating,review_count,review,url,image_url,is_closed,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,3h8FZefVHohejIQ_h_XpCw,Casa Benigna,casa-benigna-madrid,"[{'alias': 'arroceria_paella', 'title': 'Arroceria / Paella'}]",Arroceria / Paella ,40.448094,-3.6743163,"Calle Benigno Soto, 9, 28002 Madrid, Spain",+34914133356,5.0,61,"Casa Benigna and its staff were absolutely wonderful! It was recommended to me by a Madrileño friend as having the best rice, and that was totally accurate..... EAT HERE IMMEDIATELY! I cannot recommend this quaint restaurant enough!The staff is amazing, caring and genuine. Impeccable service. They treat you like.... Great food and outstanding service-good interiors My husband and i came for pre birthday dinner and not only enjoyed the food but the owners were so.... ",https://www.yelp.com/biz/casa-benigna-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media2.fl.yelpcdn.com/bphoto/tbpiqnDkAshi2LiU9CMs3Q/o.jpg,False,€€€,,[],,,,,,,
1,uqBOHaIpdPvUkB0Gb6NZ1w,El Paraguas,el-paraguas-madrid,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'asturian', 'title': 'Asturian'}]",Spanish Asturian ,40.4237396136235,-3.68582059325423,"Calle de Jorge Juan, 16, 28001 Madrid, Spain",+34914315950,1.0,55,"The restaurant offers an elegant and formal ambience with a great atmosphere and professional and customer service driven professionals in the food.... I would highly discourage anyone from eating at El Paraguas while visiting Madrid, despite the oddly high ratings. Clearly the customers who have reviewed.... Tiene trenta minutos Para conseguir agua...servicio muy mal,  comida nada especial y cara. Buenos noches!! Nunca volver.. ",https://www.yelp.com/biz/el-paraguas-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media3.fl.yelpcdn.com/bphoto/AlXKZBdm659SkFDTfFqOfA/o.jpg,False,€€€,,[],,,,,,,
2,Kyd34wdEsq7f_pIWBZPcEw,The Knife,the-knife-madrid,"[{'alias': 'steak', 'title': 'Steakhouses'}, {'alias': 'argentine', 'title': 'Argentine'}]",Steakhouses Argentine ,40.4497604,-3.6510601,"Calle Arturo Soria, 126, 28043 Madrid, Spain",+34911898097,5.0,18,"On our 2nd to last night on Madrid, we found ourselves at the Knife. Why did we wait so long???

Everything about the place was wonderful. We arrived early.... The Knife was a nice treat. The staff was very friendly and helpful. The meat was outstanding and I definitely had my fill! They had everything under the.... So now I've finally been to this location. Did I mention this restaurant is my most favourite restaurant ever??? Imagine my surprise to find they have a.... ",https://www.yelp.com/biz/the-knife-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media4.fl.yelpcdn.com/bphoto/FIdGHtmIYZeFUgkap1Q3ZA/o.jpg,False,€€,,[],,,,,,,
3,Mmby569UXW0mMO0NtXsCRw,Tandoori Station,tandoori-station-madrid-2,"[{'alias': 'indpak', 'title': 'Indian'}]",Indian ,40.429824,-3.6709674,"Calle de José Ortega y Gasset, 89- 91, 28006 Madrid, Spain",+34914012228,5.0,74,"Lets start with - you need reservation. If u do not have one, you will need to wait till 11:30 or so to get in. This place serves individulized Indian food,.... Very good Indian food and service  in a lovely little restaurant.  Pretty expensive which is factored in my rating. We enjoyed our chicken tikka masala and.... Great food and service. As spicy as you want it. Always worth a visit if you can get a reservation.. ",https://www.yelp.com/biz/tandoori-station-madrid-2?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media2.fl.yelpcdn.com/bphoto/M4yJUZhnss9L2vM7bzcLBw/o.jpg,False,€€,,[],,,,,,,
4,9Z5erguQFll7SZ4nLshfzQ,La Tasqueria,la-tasqueria-madrid-3,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",Spanish Mediterranean ,40.422279,-3.67374,"Calle Duque de Sesto, 48, 28009 Madrid, Spain",+34914511000,5.0,22,"This is definitely my favorite restaurant in Madrid, they are wild enough to make anything into best food, and the sauces they make are so creative ! Every.... Like Brad M., my boyfriend and I also decided to make this our last meal in Spain.  After two weeks roaming around this lovely country, we decided to end.... To our surprise we were able to get last-minute reservations to this place on a Friday night for our last dinner in Spain.  We wanted to make sure it was.... ",https://www.yelp.com/biz/la-tasqueria-madrid-3?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media2.fl.yelpcdn.com/bphoto/71cLsfRuUN6tw0yUixEDOw/o.jpg,False,€€€,,[],,,,,,,
5,zMSgFSyd4pIJNByFrOZJgg,Mad Brewing,mad-brewing-madrid,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",Breweries Gastropubs ,40.43448,-3.63083,"Calle Julian Camarillo, 19, 28037 Madrid, Spain",+34914402395,5.0,19,"I need to give credit where credit is due. Mad(drid) Brewing has an excellent Imperial IPA. Maybe it's because I'd been walking all day, or because I hadn't.... Delicious beer, friendly & patient staff (our Español is atrocious). We had nachos, vegan burger, brisket (recommended by staff) and a few other items - all.... Quite surprising to find a quality Brewery in Madrid. Excellent food and warm atmosphere!! I will return .Que bueno !. ",https://www.yelp.com/biz/mad-brewing-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media3.fl.yelpcdn.com/bphoto/KYMe1SOhAY6Fyw0Efeq-5Q/o.jpg,False,€€,,[],,,,,,,
6,JnokxcSJxD9LwLjyEbOTbQ,Cañadío,cañadío-madrid-3,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",Spanish Tapas/Small Plates ,40.433219,-3.674774,"Calle del Conde de Peñalver, 86, 28006 Madrid, Spain",+34912819192,5.0,21,"A gem in the non touristic neighborhood!

On my last day during a 3 week vacation to Spain, found this splendid restaurant near my hotel. After a day trip.... Very nice outdoor space friendly staff ask for English menu as no one spoke great English. Fresh anchovies are the best and they say they have the best.... SUMMARY: Eat here. You won't regret it. Downstairs tapas and drinks. Upstairs - upscale dining. Prepare to pay appropriately. 

FOOD: 5 stars - MUST EATS -.... ",https://www.yelp.com/biz/ca%C3%B1ad%C3%ADo-madrid-3?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media1.fl.yelpcdn.com/bphoto/Ki4njWOyvu9OXWGQpSiI2Q/o.jpg,False,€€,,[],,,,,,,
7,pzIUTir9hDkevjRwnhYizA,Docamar,docamar-madrid,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",Spanish Tapas Bars Tapas/Small Plates ,40.4335853373494,-3.64817272688398,"Calle de Alcalá, 337, 28027 Madrid, Spain",+34913678317,5.0,42,"Great place for tapas and drinks even if you don't drink alcohol. Helpful staff, they are open late too. The homies and I walked around that place in the.... It took me forever to find this place. Granted I was working off screenshots of Google Maps because I couldn't get data on my phone, and I tend to get lost..... The service is the best I have had in a LONG time.  Friendly, talkative, honest suggestions and so on. They brought us free snacks to taste, multiple.... ",https://www.yelp.com/biz/docamar-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media1.fl.yelpcdn.com/bphoto/koTwX4oxZyanPzAgEJhAeQ/o.jpg,False,€,,[],,,,,,,
8,tfB1sIZRk6FmwDc87-StPQ,Los Montes de Galicia,los-montes-de-galicia-madrid-2,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'bars', 'title': 'Bars'}]",Spanish Bars ,40.4346,-3.66854,"Calle de Azcona, 46, 28028 Madrid, Spain",+34913552786,5.0,58,"This was.,  no comparison, the best restaurant we came across in Madrid.   The food was WONDERFUL.  They GAVE us two Tapas prior to our meal.  Then, we had.... This restaurant was recommended to me by someone back in America.   The reviews were wonderful, so we gave it a try-   It lived up to it's reputation-.... Truly one of the best meals of my life here. We were treated like superstars and everything was incredible. This restaurant was listed as #2 among all.... ",https://www.yelp.com/biz/los-montes-de-galicia-madrid-2?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media1.fl.yelpcdn.com/bphoto/LLzEKm1pfL0s4jrOQhUqfQ/o.jpg,False,€€€,,[],,,,,,,
9,2vuBM2AfM0iPjSfoJFf_dA,El Güero,el-güero-madrid,"[{'alias': 'latin', 'title': 'Latin American'}, {'alias': 'mexican', 'title': 'Mexican'}]",Latin American Mexican ,40.4659061,-3.6359818,"Calle Emigrantes, 2, 28043 Madrid, Spain",+34917591628,5.0,28,"We love this place, and come for work lunches all the time. Excellent Venezuelan and Mexican. Everything we've had has been nice but.... Antonio was great. My friends and I came in late tonight to find a table and the place was (predictably) packed. There was no possible way for them to get a.... Excellent service in a small restaurant with about 12 tables in a quiet neighborhood. 
Food is delicious and the service is very friendly and fast. There.... ",https://www.yelp.com/biz/el-g%C3%BCero-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media2.fl.yelpcdn.com/bphoto/qwoMMzr8DmT5RdufhZLkqQ/o.jpg,False,€€,,[],,,,,,,
