,name,rating,address,description,review,distrito,alias,image_url,is_closed,review_count,latitude,longitude,location,display_phone,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,Ten con Ten,5,"Calle de Ayala, 6, 28001 Madrid, Spain",Modern European ,"This place came highly recommended by a friend who had just visited Madrid on his honeymoon--and it did not ​. The atmosphere was an intimate setting, yet.... Because, Madrid, in reality, is nothing special. It does not have a great river, and hardly any skyscrapers. No channels, no lakes. Neither glorious ruins,.... We visited this restaurant because it was highly recommended by a friend and it didn't disappoint. We had a great meal and service was outstanding.  We.... ",Salamanca,ten-con-ten-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/kfmmQ0_bpqioyMxRPiKKgQ/o.jpg,False,175,40.42795714,-3.68870527,"{'address1': 'Calle de Ayala, 6', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28001', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Ayala, 6', '28001 Madrid', 'Spain']}",+34 915 75 92 54,Ten con Ten,,[],,,,,,,
1,El Paraguas,1,"Calle de Jorge Juan, 16, 28001 Madrid, Spain",Spanish Asturian ,"The restaurant offers an elegant and formal ambience with a great atmosphere and professional and customer service driven professionals in the food.... I would highly discourage anyone from eating at El Paraguas while visiting Madrid, despite the oddly high ratings. Clearly the customers who have reviewed.... Tiene trenta minutos Para conseguir agua...servicio muy mal,  comida nada especial y cara. Buenos noches!! Nunca volver.. ",Salamanca,el-paraguas-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/AlXKZBdm659SkFDTfFqOfA/o.jpg,False,55,40.4237396136235,-3.68582059325423,"{'address1': 'Calle de Jorge Juan, 16', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28001', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Jorge Juan, 16', '28001 Madrid', 'Spain']}",+34 914 31 59 50,El Paraguas,,[],,,,,,,
2,Street Xo,2,"Calle de Serrano, 52, 28001 Madrid, Spain",Gastropubs Asian Fusion Spanish ,"Awesome and amazing. I first came here over 5 years ago when I couldn't get into David Munoz' Diver XO. It was then as is now: amazing. Street is a lot more.... After watching the Netflix show "" Somebody feed Phil"" that featured Street XO, we had so much exciting anticipation coming to the restaurant finally. This.... Website states the line is available at 7:30PM.We arrived at 7:30PM and there were already 20 people sitting in line. SO you can actually get there at.... ",Salamanca,street-xo-madrid-2,https://s3-media2.fl.yelpcdn.com/bphoto/-61fEEwji-AFQ7EelPAVuA/o.jpg,False,98,40.427645,-3.687092,"{'address1': 'Calle de Serrano, 52', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28001', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Serrano, 52', '28001 Madrid', 'Spain']}",+34 915 31 98 84,Street Xo,,[],,,,,,,
3,Goiko Grill,4,"Calle de María de Molina, 20, 28006 Madrid, Spain",Burgers American (Traditional) Cafeteria ,"There is no other word than AMAZING !!!! Best burgers i ever had and believe me, i ate a lot of burgers in my life !
I tried almost the whole menu by now.... After three weeks in Europe (and lots of our own cooking,) we were jonesing for a premium burger. Lots of local and chain options where we're staying in the.... Well finally took the time to try out the famous hamburgues in Goiko grill. This franchise is all over Spain, and now I was gonna taste a burguer from them.... ",Salamanca,goiko-grill-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/Grb4NFvSihd6Lxyjpfi6rA/o.jpg,False,72,40.437668,-3.686709,"{'address1': 'Calle de María de Molina, 20', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28006', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de María de Molina, 20', '28006 Madrid', 'Spain']}",+34 910 60 99 36,Goiko Grill,,[],,,,,,,
4,La Tasqueria,5,"Calle Duque de Sesto, 48, 28009 Madrid, Spain",Spanish Mediterranean ,"This is definitely my favorite restaurant in Madrid, they are wild enough to make anything into best food, and the sauces they make are so creative ! Every.... Like Brad M., my boyfriend and I also decided to make this our last meal in Spain.  After two weeks roaming around this lovely country, we decided to end.... To our surprise we were able to get last-minute reservations to this place on a Friday night for our last dinner in Spain.  We wanted to make sure it was.... ",Salamanca,la-tasqueria-madrid-3,https://s3-media2.fl.yelpcdn.com/bphoto/71cLsfRuUN6tw0yUixEDOw/o.jpg,False,22,40.422279,-3.67374,"{'address1': 'Calle Duque de Sesto, 48', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28009', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Duque de Sesto, 48', '28009 Madrid', 'Spain']}",+34 914 51 10 00,La Tasqueria,,[],,,,,,,
5,InClan Brutal,5,"Calle Álvarez Gato, 4, 28012 Madrid, Spain",Tapas Bars Mediterranean ,Amazing cocktails and good service!!!!! Also love their decor and fantastic cocktail menu.. This is a place you go for the atmosphere and for fun pictures. It is exactly what you expect. Every part of the restaurant is thought out. From the selfie.... How fun is this place?!? I am so glad I found this place on yelp. We were not hungry when we came in but needed a place to sit before heading to the.... ,Salamanca,inclan-brutal-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/qnACZF6n1EPH4hxd5XiVPQ/o.jpg,False,171,40.41508,-3.70192,"{'address1': 'Calle Álvarez Gato, 4', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28012', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Álvarez Gato, 4', '28012 Madrid', 'Spain']}",+34 910 23 80 38,InClan Brutal,,[],,,,,,,
6,Goiko Grill,4,"Calle Conde de Peñalver, 41, 28006 Madrid, Spain",Burgers ,"Terrible.  They served raw burgers, not rare, blue.  After taking them back to our hotel and figuring out the quality issue, we returned to fix the error,.... Muy buenas hamburguesas. De las mejores que he comido en estos años. La carne es muy buena, las patatas increíbles (muchos restaurantes las dejan un poco.... Mac and cheese balls were unreal, the burger was great as well however i asked for well done and found the burger to be very pink.. ",Salamanca,goiko-grill-madrid-4,https://s3-media3.fl.yelpcdn.com/bphoto/omhUuUDPKToC7yUfdQoSig/o.jpg,False,46,40.4289579506968,-3.675554,"{'address1': 'Calle Conde de Peñalver, 41', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28006', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Conde de Peñalver, 41', '28006 Madrid', 'Spain']}",+34 910 60 96 16,Goiko Grill,,[],,,,,,,
7,Tandoori Station,5,"Calle de José Ortega y Gasset, 89- 91, 28006 Madrid, Spain",Indian ,"Lets start with - you need reservation. If u do not have one, you will need to wait till 11:30 or so to get in. This place serves individulized Indian food,.... Very good Indian food and service  in a lovely little restaurant.  Pretty expensive which is factored in my rating. We enjoyed our chicken tikka masala and.... Great food and service. As spicy as you want it. Always worth a visit if you can get a reservation.. ",Salamanca,tandoori-station-madrid-2,https://s3-media2.fl.yelpcdn.com/bphoto/M4yJUZhnss9L2vM7bzcLBw/o.jpg,False,74,40.429824,-3.6709674,"{'address1': 'Calle de José Ortega y Gasset, 89- 91', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28006', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de José Ortega y Gasset, 89- 91', '28006 Madrid', 'Spain']}",+34 914 01 22 28,Tandoori Station,,[],,,,,,,
8,Rosi La Loca,4,"Calle de Cádiz, 4, 28012 Madrid, Spain",Tapas Bars Spanish ,"Rosie La Loca is the result of someone saying ""how can make tapas fun, funky, and slightly fairytalish"".  They achieved their vision .   There is no moment,.... Super underrated here in Madrid. The first and last place for original Tapas. We accidentally stumbled in on this place and were blown away. Then traveled.... We went here our first night in Madrid after searching quickly for someplace to eat, and it was packed. If you want to eat inside, you have to make a.... ",Salamanca,rosi-la-loca-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/SN6sHZ3lOLs4rLEMBPoMkQ/o.jpg,False,194,40.4158141746249,-3.70297881289753,"{'address1': 'Calle de Cádiz, 4', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28012', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Cádiz, 4', '28012 Madrid', 'Spain']}",+34 915 32 66 81,Rosi La Loca,,[],,,,,,,
9,Food Truck,5,"Calle San Lucas, 11, 28004 Madrid, Spain",American (Traditional) Burgers ,"Un gran descubrimiento.
Los cheese ticks estaban riquísimos y la burger de costillas una pasada.
Un sitio altamente recomendable.. ",Salamanca,food-truck-madrid-2,https://s3-media1.fl.yelpcdn.com/bphoto/RfDa4fRNLD5DuJ3TwdlWlA/o.jpg,False,33,40.42375,-3.69618,"{'address1': 'Calle San Lucas, 11', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28004', 'country': 'ES', 'state': 'M', 'display_address': ['Calle San Lucas, 11', '28004 Madrid', 'Spain']}",+34 911 89 36 96,Food Truck,,[],,,,,,,
