,name,rating,address,description,review,alias,image_url,is_closed,review_count,latitude,longitude,location,display_phone,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,IGo Pasta,2.0,"Calle de Dolores Barranco, 88, 28026 Madrid, Spain",Chinese Asian Fusion Ramen ,"We've been in Spain for a week now. We were kind of tired of eating tapas so we want some hot soups. Went to have some ramen noodles because I was feeling a.... This place had pros and cons:

Pros: 
Great food. I really enjoyed the noodles! It had the kind of chewy noodle that I really like and the soup was good.... I had a chicken teriyaki ramen there, and to be honest, it's totally different from what normal people think it would be. The broth was made by soy sauce.... ",igo-pasta-madrid-2,https://s3-media3.fl.yelpcdn.com/bphoto/yEEVsdGBmfOkOEWDRLGAWQ/o.jpg,False,22,40.3828201,-3.7105899,"{'address1': 'Calle de Dolores Barranco, 88', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28026', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Dolores Barranco, 88', '28026 Madrid', 'Spain']}",+34 917 04 78 08,€€,,[],,,,,,,
1,Royal Cantonés,2.0,"Calle Olvido, 92, 28026 Madrid, Spain",Dim Sum ,"Great Chinese restaurant in Madrid! Madrid is an amazing town for travel, but I'm still craving for Chinese food somehow. Found this restaurant in Madrid.... I decided to give it a try after the positive reviews in Yelp, and it turned out to be a great gastronomic experience. We ordered several dishes to share,.... It was already. It was nice seeing canto food on a menu in Madrid after being away from home for so long. I got the porridge and the siu mai. Porridge was.... ",royal-cantonés-madrid-2,https://s3-media4.fl.yelpcdn.com/bphoto/ThJ9mmJeEZHjOmm98kE7SA/o.jpg,False,25,40.38296,-3.70254,"{'address1': 'Calle Olvido, 92', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28026', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Olvido, 92', '28026 Madrid', 'Spain']}",+34 915 00 01 61,€,,[],,,,,,,
2,La Parrilla III,4.0,"Calle de la Pilarica, 20, 28026 Madrid, Spain",Steakhouses ,Holy food coma! The food is really great especially the grilled sausages etc. We always come here every time we return to Madrid.. ,la-parrilla-iii-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/b8ltdEEbH6saMpW1h4qrWQ/o.jpg,False,5,40.3858,-3.70338,"{'address1': 'Calle de la Pilarica, 20', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28026', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de la Pilarica, 20', '28026 Madrid', 'Spain']}",+34 914 76 27 81,€€,,[],,,,,,,
3,Mis Tradiciones,4.0,"Paseo de las Yeserías, 15, 28005 Madrid, Spain",Peruvian ,"Our best meal in Madrid! The baccalao (cod) was tender and delicious, though too salty. Refreshing gazpacho though it was a sneaky move to offer it as if it.... ",mis-tradiciones-madrid-5,https://s3-media3.fl.yelpcdn.com/bphoto/q_X2BjqNtYpi96ZWzX5mxA/o.jpg,False,13,40.3997693961129,-3.71086184126011,"{'address1': 'Paseo de las Yeserías, 15', 'address2': '', 'address3': None, 'city': 'Madrid', 'zip_code': '28005', 'country': 'ES', 'state': 'M', 'display_address': ['Paseo de las Yeserías, 15', '28005 Madrid', 'Spain']}",+34 914 73 37 79,€€,,[],,,,,,,
4,La Pequeña Graná,4.0,"Calle de Embajadores, 124, 28045 Madrid, Spain",Tapas Bars Tapas/Small Plates Beer Bar ,"Delicious tapas with awesome service. We ordered several types of tapas and they were all delicious. Wonderful service by the staff. Highly recommend it.. I was staying nearby, and sadly only ventured here on my last night. This place is how broke Madrileños do it, napkins on the floor and all. If you sit.... Well, I'm eating at the bar now. The place is not gonna change your life, but the beer is good, and the tapas are good even if they are on the small side..... ",la-pequeña-graná-madrid-2,https://s3-media1.fl.yelpcdn.com/bphoto/BhD7tJtaMotbAC706Q1vFg/o.jpg,False,35,40.3993899,-3.69851,"{'address1': 'Calle de Embajadores, 124', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28045', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Embajadores, 124', '28045 Madrid', 'Spain']}",+34 914 74 26 30,€,,[],,,,,,,
5,Buenas y Santas,5.0,"Calle Bolívar, 9, 28045 Madrid, Spain",Argentine Salad Burgers ,"I was here yesterday for lunch and the place, although small, is very good.  My order was a burger, but this was a burger made from chicken.  They tell you.... Restaurante argentino moderno y económico. Menú diario por debajo de 11€. La carta es rica (y apta para vegetarianos), la presentación es muy buena y la.... ",buenas-y-santas-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/XWSyAAz4Ls_uAHzK257rHw/o.jpg,False,13,40.392025680947,-3.6928251627922,"{'address1': 'Calle Bolívar, 9', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28045', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Bolívar, 9', '28045 Madrid', 'Spain']}",+34 915 06 06 47,€€,,[],,,,,,,
6,La Taberna de Usera,4.5,"Calle Almendrales, 15, 28026 Madrid, Spain",Steakhouses Tabernas ,,la-taberna-de-usera-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/2AauwlEJCFklmi6PuFLq2A/o.jpg,False,4,40.3872414,-3.7004399,"{'address1': 'Calle Almendrales, 15', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28026', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Almendrales, 15', '28026 Madrid', 'Spain']}",+34 914 76 47 21,€,,[],,,,,,,
7,Ciri,4.0,"Calle del Amor Hermoso, 21, 28026 Madrid, Spain",Restaurants ,,ciri-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/hZrqxpY00J4TwRNMk801eQ/o.jpg,False,3,40.38631,-3.70396,"{'address1': 'Calle del Amor Hermoso, 21', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28026', 'country': 'ES', 'state': 'M', 'display_address': ['Calle del Amor Hermoso, 21', '28026 Madrid', 'Spain']}",+34 914 76 02 69,€,,[],,,,,,,
8,La Gelateria di Angelo,5.0,"Paseo de las Yeserías, 41, 28005 Madrid, Spain",Ice Cream & Frozen Yogurt Gluten-Free Cafeteria ,"This is the best place for gelato in Madrid. It is a bit off the beaten path for tourists, but is right next to MadridRío, so it's a nice place to stop on a.... ",la-gelateria-di-angelo-madrid-2,https://s3-media1.fl.yelpcdn.com/bphoto/Sj4PrHTiQ_qxrydDdUT1-A/o.jpg,False,9,40.3978691,-3.7072699,"{'address1': 'Paseo de las Yeserías, 41', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28005', 'country': 'ES', 'state': 'M', 'display_address': ['Paseo de las Yeserías, 41', '28005 Madrid', 'Spain']}",+34 918 70 99 03,€,,[],,,,,,,
9,Amaia,5.0,"Paseo de la Chopera, 71, Plaza Legazpi, 28026 Madrid, Spain",Spanish ,"We spent one week in Madrid in January while working on a project at the Matadero, a huge cultural space, on the outskirts of the city center.  This modest.... ",amaia-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/FTZ7Cy-SZNmCUoxneLxTRQ/o.jpg,False,2,40.3885544,-3.7069343,"{'address1': 'Paseo de la Chopera, 71', 'address2': 'Plaza Legazpi', 'address3': '', 'city': 'Madrid', 'zip_code': '28026', 'country': 'ES', 'state': 'M', 'display_address': ['Paseo de la Chopera, 71', 'Plaza Legazpi', '28026 Madrid', 'Spain']}",+34 915 06 16 62,,,[],,,,,,,
