,name,rating,address,description,review,distrito,alias,image_url,is_closed,review_count,latitude,longitude,location,display_phone,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,Mad Brewing,5,"Calle Julian Camarillo, 19, 28037 Madrid, Spain",Breweries Gastropubs ,"I need to give credit where credit is due. Mad(drid) Brewing has an excellent Imperial IPA. Maybe it's because I'd been walking all day, or because I hadn't.... Delicious beer, friendly & patient staff (our Español is atrocious). We had nachos, vegan burger, brisket (recommended by staff) and a few other items - all.... Quite surprising to find a quality Brewery in Madrid. Excellent food and warm atmosphere!! I will return .Que bueno !. ",Retiro,mad-brewing-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/KYMe1SOhAY6Fyw0Efeq-5Q/o.jpg,False,19,40.43448,-3.63083,"{'address1': 'Calle Julian Camarillo, 19', 'address2': None, 'address3': '', 'city': 'Madrid', 'zip_code': '28037', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Julian Camarillo, 19', '28037 Madrid', 'Spain']}",+34 914 40 23 95,Mad Brewing,,[],,,,,,,
1,Tandoori Station,5,"Calle de José Ortega y Gasset, 89- 91, 28006 Madrid, Spain",Indian ,"Lets start with - you need reservation. If u do not have one, you will need to wait till 11:30 or so to get in. This place serves individulized Indian food,.... Very good Indian food and service  in a lovely little restaurant.  Pretty expensive which is factored in my rating. We enjoyed our chicken tikka masala and.... Great food and service. As spicy as you want it. Always worth a visit if you can get a reservation.. ",Retiro,tandoori-station-madrid-2,https://s3-media2.fl.yelpcdn.com/bphoto/M4yJUZhnss9L2vM7bzcLBw/o.jpg,False,74,40.429824,-3.6709674,"{'address1': 'Calle de José Ortega y Gasset, 89- 91', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28006', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de José Ortega y Gasset, 89- 91', '28006 Madrid', 'Spain']}",+34 914 01 22 28,Tandoori Station,,[],,,,,,,
2,La Tasqueria,5,"Calle Duque de Sesto, 48, 28009 Madrid, Spain",Spanish Mediterranean ,"This is definitely my favorite restaurant in Madrid, they are wild enough to make anything into best food, and the sauces they make are so creative ! Every.... Like Brad M., my boyfriend and I also decided to make this our last meal in Spain.  After two weeks roaming around this lovely country, we decided to end.... To our surprise we were able to get last-minute reservations to this place on a Friday night for our last dinner in Spain.  We wanted to make sure it was.... ",Retiro,la-tasqueria-madrid-3,https://s3-media2.fl.yelpcdn.com/bphoto/71cLsfRuUN6tw0yUixEDOw/o.jpg,False,22,40.422279,-3.67374,"{'address1': 'Calle Duque de Sesto, 48', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28009', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Duque de Sesto, 48', '28009 Madrid', 'Spain']}",+34 914 51 10 00,La Tasqueria,,[],,,,,,,
3,Estanque Grande del Buen Retiro,5,"Paseo de Colombia, 2, 28014 Madrid, Spain",Parks Botanical Gardens ,"The park is in middle of Madrid and it's a very beautiful park to visit day or night. There is a nice lake in the middle of the park where you can rent a.... It's free 
It's beautiful 
It's not crowded.
The Crystal Palace is close currently but you can check it out. People are just hanging around and just take.... El Parque del Buen Retiro translates in English to ""park of the pleasant retreat"" and I couldn't agree more. Yes, it was pleasant. Yes, it was a retreat.... ",Retiro,estanque-grande-del-buen-retiro-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/DgBMbVRvWgeCZflMJWqomw/o.jpg,False,289,40.4111360334962,-3.68262812566008,"{'address1': 'Paseo de Colombia, 2', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28014', 'country': 'ES', 'state': 'M', 'display_address': ['Paseo de Colombia, 2', '28014 Madrid', 'Spain']}",,,,[],,,,,,,
4,Cañadío,5,"Calle del Conde de Peñalver, 86, 28006 Madrid, Spain",Spanish Tapas/Small Plates ,"A gem in the non touristic neighborhood!

On my last day during a 3 week vacation to Spain, found this splendid restaurant near my hotel. After a day trip.... Very nice outdoor space friendly staff ask for English menu as no one spoke great English. Fresh anchovies are the best and they say they have the best.... SUMMARY: Eat here. You won't regret it. Downstairs tapas and drinks. Upstairs - upscale dining. Prepare to pay appropriately. 

FOOD: 5 stars - MUST EATS -.... ",Retiro,cañadío-madrid-3,https://s3-media1.fl.yelpcdn.com/bphoto/Ki4njWOyvu9OXWGQpSiI2Q/o.jpg,False,21,40.433219,-3.674774,"{'address1': 'Calle del Conde de Peñalver, 86', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28006', 'country': 'ES', 'state': 'M', 'display_address': ['Calle del Conde de Peñalver, 86', '28006 Madrid', 'Spain']}",+34 912 81 91 92,Cañadío,,[],,,,,,,
5,Los Montes de Galicia,5,"Calle de Azcona, 46, 28028 Madrid, Spain",Spanish Bars ,"This was.,  no comparison, the best restaurant we came across in Madrid.   The food was WONDERFUL.  They GAVE us two Tapas prior to our meal.  Then, we had.... This restaurant was recommended to me by someone back in America.   The reviews were wonderful, so we gave it a try-   It lived up to it's reputation-.... Truly one of the best meals of my life here. We were treated like superstars and everything was incredible. This restaurant was listed as #2 among all.... ",Retiro,los-montes-de-galicia-madrid-2,https://s3-media1.fl.yelpcdn.com/bphoto/LLzEKm1pfL0s4jrOQhUqfQ/o.jpg,False,58,40.4346,-3.66854,"{'address1': 'Calle de Azcona, 46', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28028', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Azcona, 46', '28028 Madrid', 'Spain']}",+34 913 55 27 86,Los Montes de Galicia,,[],,,,,,,
6,La Castela,5,"Calle del Dr. Castelo, 22, 28009 Madrid, Spain",Spanish Tapas/Small Plates ,"First dinner in Madrid.

Looks small from the street entrance but there are dining tables in the rear of the bar.

We walked in at 10pm (prime dinner time).... Definitely the best tapas restaurant we visited this week.  Service was great with very friendly staff happy to help us with menu.  Food was really good..... Excellent old  Madrid classic. Well known and loved by Madrid connoisseurs; and a celebrities spot since Michell Obama dinned here. The food is consistently.... ",Retiro,la-castela-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/LhdshKoiBAOiQ8dhtWgVWg/o.jpg,False,33,40.4203,-3.67666,"{'address1': 'Calle del Dr. Castelo, 22', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28009', 'country': 'ES', 'state': 'M', 'display_address': ['Calle del Dr. Castelo, 22', '28009 Madrid', 'Spain']}",+34 915 73 55 90,La Castela,,[],,,,,,,
7,Docamar,5,"Calle de Alcalá, 337, 28027 Madrid, Spain",Spanish Tapas Bars Tapas/Small Plates ,"Great place for tapas and drinks even if you don't drink alcohol. Helpful staff, they are open late too. The homies and I walked around that place in the.... It took me forever to find this place. Granted I was working off screenshots of Google Maps because I couldn't get data on my phone, and I tend to get lost..... The service is the best I have had in a LONG time.  Friendly, talkative, honest suggestions and so on. They brought us free snacks to taste, multiple.... ",Retiro,docamar-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/koTwX4oxZyanPzAgEJhAeQ/o.jpg,False,42,40.4335853373494,-3.64817272688398,"{'address1': 'Calle de Alcalá, 337', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28027', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Alcalá, 337', '28027 Madrid', 'Spain']}",+34 913 67 83 17,Docamar,,[],,,,,,,
8,Bendita Locura,3,"Calle del Príncipe de Vergara, 73, 28006 Madrid, Spain",Tapas Bars Mediterranean Breakfast & Brunch ,"Looks good but my advice- get reservations.
It was packed so likely it's good but we didn't have reservations so we left- making a reservation for tomorrow.... During a recent visit to Madrid my family and I dined discovered this gem across the street from our hotel. We dined at Bendita Locura on a couple of days..... Brunch is served from 10:00 am. That is the best option. Good eggs Benedictine. And service was very good. ",Retiro,bendita-locura-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/MRbfp5GnlFqY8-2-yYBrjQ/o.jpg,False,16,40.4349585845644,-3.67953476011883,"{'address1': 'Calle del Príncipe de Vergara, 73', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28006', 'country': 'ES', 'state': 'M', 'display_address': ['Calle del Príncipe de Vergara, 73', '28006 Madrid', 'Spain']}",+34 915 63 25 70,Bendita Locura,,[],,,,,,,
9,El Gran Barril,5,"Calle de Goya, 107, 28009 Madrid, Spain",Seafood Spanish ,"For seafood lovers, El Gran Barril is a place to schedule in your foodie agenda while in Madrid.  

Located near the Goya station, it is easy to get to..... Food was great. It's a block away from our hotel . Service was good. Our waiter was attentive but had a little trouble understanding us, so we got shrimp.... All the dishes were prepared very well.
Contemporary and blight ambiance and well trained staff, very professional and helpful! 
Plus quality wine listings..... ",Retiro,el-gran-barril-madrid-2,https://s3-media3.fl.yelpcdn.com/bphoto/Q5CnVnMOyLORLnJXGw2_vg/o.jpg,False,15,40.42483,-3.67302,"{'address1': 'Calle de Goya, 107', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28009', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Goya, 107', '28009 Madrid', 'Spain']}",+34 914 31 22 10,El Gran Barril,,[],,,,,,,
10,Purnima,5,"Calle de Goya, 110, 28009 Madrid, Spain",Indian ,"Lovely decor,  good service and flavorful fresh food .  We had ordered vegetarian dishes and all were delicious .  Enjoyed the vermouth as well .  We had.... We made an online reservation. The food is very good and the service is acceptable. Decor is acceptable. I was happy to hear Bollywood music after a long.... So the stars are for its to the point service where they didn't leave us stranded. 
We never ate at this restaurant as it was under renovation. They picked.... ",Retiro,purnima-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/l5H8CgBYyl3Jmph_4LaYCw/o.jpg,False,13,40.4243499,-3.67004,"{'address1': 'Calle de Goya, 110', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28009', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Goya, 110', '28009 Madrid', 'Spain']}",+34 910 70 96 10,Purnima,,[],,,,,,,
11,El Pimiento Verde,5,"Calle de Castelló, 18, 28001 Madrid, Spain",Basque ,"Impressed by this place! Since we got there, and please make reservations, we were well taken care of.
I want a special thanks to Manuel the  ""manager"" that.... Food was excellent.  The artichokes and white asparagus appetizers were absolutely divine and the lobster risotto was well done too though I could have done.... The homemade croquettes was delicious 
The grilled octopus was perfect and soft 
The bread and ceviche was delicious 
The receptionist and the waiter was.... ",Retiro,el-pimiento-verde-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/JDlYLmj8E3coGY1eyYtr9A/o.jpg,False,16,40.424058,-3.681484,"{'address1': 'Calle de Castelló, 18', 'address2': '', 'address3': None, 'city': 'Madrid', 'zip_code': '28001', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Castelló, 18', '28001 Madrid', 'Spain']}",+34 915 76 41 35,,,[],,,,,,,
12,Carlos Tartiere,5,"Calle de Menorca, 35, 28009 Madrid, Spain",Spanish Asturian Tapas/Small Plates ,"The best fabada in Madrid? Probably not. But sublime anyway. The atmosphere is great, and the cider is really good. Be prepared, the cider is funky by.... Excellent food! Incredible service! We were treated with free chorizo pies, free pumpkin soup, free postre chupitos, amazing atmosphere! I will definitely.... ",Retiro,carlos-tartiere-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/LROA-NckWfg2q3weKnKsjQ/o.jpg,False,12,40.41945,-3.67502,"{'address1': 'Calle de Menorca, 35', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28009', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Menorca, 35', '28009 Madrid', 'Spain']}",+34 915 73 43 33,Carlos Tartiere,,[],,,,,,,
13,Goiko Grill,4,"Calle Conde de Peñalver, 41, 28006 Madrid, Spain",Burgers ,"Terrible.  They served raw burgers, not rare, blue.  After taking them back to our hotel and figuring out the quality issue, we returned to fix the error,.... Muy buenas hamburguesas. De las mejores que he comido en estos años. La carne es muy buena, las patatas increíbles (muchos restaurantes las dejan un poco.... Mac and cheese balls were unreal, the burger was great as well however i asked for well done and found the burger to be very pink.. ",Retiro,goiko-grill-madrid-4,https://s3-media3.fl.yelpcdn.com/bphoto/omhUuUDPKToC7yUfdQoSig/o.jpg,False,46,40.4289579506968,-3.675554,"{'address1': 'Calle Conde de Peñalver, 41', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28006', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Conde de Peñalver, 41', '28006 Madrid', 'Spain']}",+34 910 60 96 16,Goiko Grill,,[],,,,,,,
14,La Montería,5,"Calle de Lope de Rueda, 35, 28009 Madrid, Spain",Spanish Tapas/Small Plates ,"Decided to try based on yelp reviews and interesting menu. We started with appetizers: Gambas (shrimp) and mushrooms with truffle. I had monkfish, my.... I adored being here while going out on Saturday night in Madrid.
What a wonderful place to start with the name: the city I grew up in Colombia, S.A.
Staff.... Had a wonderful dinner there last night (Friday). I arrived about 7:30, hoping to get a seat before the crowd got there. I'm glad I did. When I walked in,.... ",Retiro,la-montería-madrid-2,https://s3-media1.fl.yelpcdn.com/bphoto/Jl2KGt0dwQ71mPzExdUcGw/o.jpg,False,15,40.42027,-3.67752,"{'address1': 'Calle de Lope de Rueda, 35', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28009', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Lope de Rueda, 35', '28009 Madrid', 'Spain']}",+34 915 74 18 12,La Montería,,[],,,,,,,
15,Cazorla,5,"Calle Castello, 99, 28006 Madrid, Spain",Spanish Andalusian Tapas/Small Plates ,"I just went to this restaurant and the service was really good. It's a perfect restaurant for typical Spanish food, specially for someone visiting. We order.... My fave neighborhood bar--I love it. The staff was immediately warm and friendly when I moved in, they were patient with my Spanish, and made me feel at.... Excellent tapas place, tight space, great food and very friendly service! The owner is very helpful and knowledgeable.. ",Retiro,cazorla-madrid-8,https://s3-media2.fl.yelpcdn.com/bphoto/Oy55XcyJ2IoTIjQwdPd5XA/o.jpg,False,13,40.4340164,-3.6809025,"{'address1': 'Calle Castello, 99', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28006', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Castello, 99', '28006 Madrid', 'Spain']}",+34 915 62 71 94,Cazorla,,[],,,,,,,
16,Tablao Flamenco La Quimera,5,"Calle Sancho Dávila, 34, 28028 Madrid, Spain",Restaurants Tablao Flamenco ,"Wonderful experience.  Very intimate place with excellent show enjoyed it immensely.  Performance is about an hour.  So glad we decided to visit.. A fantastic and intimate experience and venue a bit outside central Madrid, Tablao features incredibly intense flamenco performers who are at the peak of.... I'm so glad a friend recommended this spot to me. The location is a little on the outskirts of the main area of tourists but it's still easy to get to by.... ",Retiro,tablao-flamenco-la-quimera-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/0a3_JhKVbBX6lNy45VFk2g/o.jpg,False,16,40.4255362,-3.6617751,"{'address1': 'Calle Sancho Dávila, 34', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28028', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Sancho Dávila, 34', '28028 Madrid', 'Spain']}",+34 913 56 93 61,Tablao Flamenco La Quimera,,[],,,,,,,
