,name,rating,address,description,review,alias,image_url,is_closed,review_count,coordinates,location,display_phone,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,InClan Brutal,5,"Calle Álvarez Gato, 4, 28012 Madrid, Spain",Tapas Bars Mediterranean ,Amazing cocktails and good service!!!!! Also love their decor and fantastic cocktail menu.. This is a place you go for the atmosphere and for fun pictures. It is exactly what you expect. Every part of the restaurant is thought out. From the selfie.... How fun is this place?!? I am so glad I found this place on yelp. We were not hungry when we came in but needed a place to sit before heading to the.... ,inclan-brutal-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/qnACZF6n1EPH4hxd5XiVPQ/o.jpg,False,171,"{'latitude': 40.41508, 'longitude': -3.70192}","{'address1': 'Calle Álvarez Gato, 4', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28012', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Álvarez Gato, 4', '28012 Madrid', 'Spain']}",+34 910 23 80 38,InClan Brutal,,[],,,,,,,
1,Tinto y Tapas,5,"Calle de Almadén, 14, 28014 Madrid, Spain",Tapas Bars Wine Bars Tabernas ,"Reseña en ingles y español. 

Tinto y tapas was the perfect place to stop in for a mid-day snack (or lunch) after touring the museums all morning. We.... Adorable. A bit of unique menu with specials. Wine fabulous. Service friendly.  Food amazing.. Excellent lunch stop!  We each ordered an open face sandwich (I had the chicken, husband had the ham) and split a salad. It was the perfect portion and the.... ",tinto-y-tapas-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/x2f0FfUuVnVoKtkIttkH3w/o.jpg,False,165,"{'latitude': 40.4109993, 'longitude': -3.6943901}","{'address1': 'Calle de Almadén, 14', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28014', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Almadén, 14', '28014 Madrid', 'Spain']}",+34 910 71 14 57,Tinto y Tapas,,[],,,,,,,
2,Juana la Loca,5,"Plaza de Puerta de Moros, 4, 28005 Madrid, Spain",Tapas/Small Plates Spanish ,"This is my first meal in Spain, that is easily one of the best meals from the entire trip. The dining experience was fun, you can order food and drinks at.... Juana is hot and she knows it - a chic tapas and dinner spot near the main square and entertainment district of Madrid. The ideal situation is to get a.... This was the first meal I had while visiting Madrid, and it exceeded my expectations. 5 out of 5 pogs. 

The service was amazing. The staff was super.... ",juana-la-loca-madrid-2,https://s3-media2.fl.yelpcdn.com/bphoto/NgunxElPzdU6f0ktiDoM7A/o.jpg,False,220,"{'latitude': 40.4113584, 'longitude': -3.711094}","{'address1': 'Plaza de Puerta de Moros, 4', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28005', 'country': 'ES', 'state': 'M', 'display_address': ['Plaza de Puerta de Moros, 4', '28005 Madrid', 'Spain']}",+34 913 64 05 25,Juana la Loca,,[],,,,,,,
3,Cacao Restobar,3,"Calle de Moratin, 19, 28014 Madrid, Spain",Mediterranean Venezuelan Wine Bars ,"Awesome.  The best sangria I've ever had.  

Octopus was amazing, and the staff was super friendly.. Everything was delicious.  The vegetarian corn arepas was amazing!!  Highly recommend!!!. Not that bad, but all's too sweet or too salty which comes as a surprise given the place's rating. ",cacao-restobar-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/4pPzoP8sAiXkQf9Dc7SIeg/o.jpg,False,106,"{'latitude': 40.4124, 'longitude': -3.69703}","{'address1': 'Calle de Moratin, 19', 'address2': None, 'address3': '', 'city': 'Madrid', 'zip_code': '28014', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Moratin, 19', '28014 Madrid', 'Spain']}",+34 910 52 96 34,Cacao Restobar,,[],,,,,,,
4,Casa Lucas,5,"Calle de la Cava Baja, 30, 28005 Madrid, Spain",Tapas Bars Wine Bars ,"Great little tapas wine bar on Calle cava baja. Awesome food and great attentive services. We arrived shortly after 8:30pm and was seated right away. Within.... Very good tapas. Intimate setting, casual, family like, good service. Three tapas shared between two people, €31. We had a lovely time at Casa Lucas on a Sunday night.  Bartender Javier was a terrific guide. 

We started with vermú-- lovely vermouth on ice with a bit of.... ",casa-lucas-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/xqe6MvFLV0HEbE_M4pvwhA/o.jpg,False,157,"{'latitude': 40.412325, 'longitude': -3.709429}","{'address1': 'Calle de la Cava Baja, 30', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28005', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de la Cava Baja, 30', '28005 Madrid', 'Spain']}",+34 913 65 08 04,Casa Lucas,,[],,,,,,,
5,La Gastro,5,"Calle del Barco, 7, 28004 Madrid, Spain",Gastropubs Spanish Tapas Bars ,"Highly recommend for tapas and drinks!!

We found La Gastro on yelp since we were at a cafe close by and wanted to stop for dinner. They open at 9pm and.... Fusion of Spanish, Asian, Middle Eastern and Latin American influences - this is a gastronomical experience that blew our minds away. We tried the croqueta.... As Americans in Madrid who are not interested in tourist fare we wanted to get away from Gran Via. We read good reviews about La Gastro and gave it a shot..... ",la-gastro-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/9JvcVXExwTNtNjF3tmcc1A/o.jpg,False,68,"{'latitude': 40.42129, 'longitude': -3.70289}","{'address1': 'Calle del Barco, 7', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28004', 'country': 'ES', 'state': 'M', 'display_address': ['Calle del Barco, 7', '28004 Madrid', 'Spain']}",+34 913 64 22 63,La Gastro,,[],,,,,,,
6,Celso y Manolo,5,"Calle de la Libertad, 1, 28004 Madrid, Spain",Tapas Bars Spanish ,"With such great yelp reviews we wanted to check out this restaurant on our last night in Madrid! We were lucky to get a reservation. This restaurant is very.... Good, reliable spot in Madrid with fresh ingredients, good service and a nice selection of tapas. We ordered 4 tapas and 1 jug of sangria for 2 people,.... Another Spanish restaurant that I should have reviewed years ago (more specifically 4 years ago when we visited Madrid).

I remember the restaurant being a.... ",celso-y-manolo-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/xYQ_MCAaJH4bHmWzRIO8Uw/o.jpg,False,187,"{'latitude': 40.420185, 'longitude': -3.6974769}","{'address1': 'Calle de la Libertad, 1', 'address2': None, 'address3': '', 'city': 'Madrid', 'zip_code': '28004', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de la Libertad, 1', '28004 Madrid', 'Spain']}",+34 915 31 80 79,Celso y Manolo,,[],,,,,,,
7,Cardamomo Tablao Flamenco,5,"Calle de Echegaray, 15, 28014 Madrid, Spain",Spanish Tablao Flamenco ,"Wonderful show in a great ambiance.

I was able to easily book my ticket online just a few hours prior to the show. I booked category A (closest to the.... Great experience.  I'd recommend them.

For a quick, one hour taste of Flamenco, this is a good Madrid choice.  They get you in and out efficiently. 

I got.... I'll be honest: I didn't know what Flamenco was before I saw this show. I knew it was a Spanish tradition. I figured that ""flamenco"" probably derives from.... ",cardamomo-tablao-flamenco-madrid-2,https://s3-media3.fl.yelpcdn.com/bphoto/WZZV9k1aCbh21hoeV3IlHg/o.jpg,False,102,"{'latitude': 40.4154635, 'longitude': -3.6995421}","{'address1': 'Calle de Echegaray, 15', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28014', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Echegaray, 15', '28014 Madrid', 'Spain']}",+34 918 05 10 38,Cardamomo Tablao Flamenco,,[],,,,,,,
8,Rosi La Loca,4,"Calle de Cádiz, 4, 28012 Madrid, Spain",Tapas Bars Spanish ,"Rosie La Loca is the result of someone saying ""how can make tapas fun, funky, and slightly fairytalish"".  They achieved their vision .   There is no moment,.... Super underrated here in Madrid. The first and last place for original Tapas. We accidentally stumbled in on this place and were blown away. Then traveled.... We went here our first night in Madrid after searching quickly for someplace to eat, and it was packed. If you want to eat inside, you have to make a.... ",rosi-la-loca-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/SN6sHZ3lOLs4rLEMBPoMkQ/o.jpg,False,194,"{'latitude': 40.4158141746249, 'longitude': -3.70297881289753}","{'address1': 'Calle de Cádiz, 4', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28012', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Cádiz, 4', '28012 Madrid', 'Spain']}",+34 915 32 66 81,Rosi La Loca,,[],,,,,,,
9,El Sur,5,"Calle de la Torrecilla del Leal, 12, 28012 Madrid, Spain",Tapas Bars ,"This was the first and last restaurant I went to in Madrid because I couldn't leave without coming back for another meal! I got the seafood paella (paella.... A place that as well loved by locals. Reminds me a lot of the local places in Madrid, where you will be able to sit at the bar and have a drink, and even.... El Sur was our first stop in Madrid. The staff was extremely friendly and knew we were visiting from Miami. We chatted up a storm since the server had been.... ",el-sur-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/jwbA1VhURId5DHktZgl_3A/o.jpg,False,792,"{'latitude': 40.4110475, 'longitude': -3.6995454}","{'address1': 'Calle de la Torrecilla del Leal, 12', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28012', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de la Torrecilla del Leal, 12', '28012 Madrid', 'Spain']}",+34 915 27 83 40,El Sur,,[],,,,,,,
