,name,rating,address,description,review,alias,image_url,is_closed,review_count,latitude,longitude,location,display_phone,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,La Cepa,5.0,"Calle Poza de la Sal, 20, 28031 Madrid, Spain",Steakhouses ,,la-cepa-madrid-2,https://s3-media4.fl.yelpcdn.com/bphoto/ZJf2-R3akZPfIgn9wWUq-w/o.jpg,False,4,40.37847,-3.60649,"{'address1': 'Calle Poza de la Sal, 20', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28031', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Poza de la Sal, 20', '28031 Madrid', 'Spain']}",+34 913 31 86 50,,,[],,,,,,,
1,Burrito,4.0,"Calle de la Alameda del Valle, 36, 28031 Madrid, Spain",Pizza Food Delivery Services Burgers ,,burrito-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/1rKp_e7ng0xDYlKfXMV5uw/o.jpg,False,6,40.3655199,-3.62004,"{'address1': 'Calle de la Alameda del Valle, 36', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28031', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de la Alameda del Valle, 36', '28031 Madrid', 'Spain']}",+34 628 16 16 20,Burrito,,[],,,,,,,
2,Vicus,4.5,"Plaza de Don Antonio de Andrés, 5, 28032 Madrid, Spain",Tapas Bars ,,vicus-madrid-2,https://s3-media3.fl.yelpcdn.com/bphoto/fXKy2vyfrMDXgAuAb8KT2Q/o.jpg,False,7,40.40191,-3.6056,"{'address1': 'Plaza de Don Antonio de Andrés, 5', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28032', 'country': 'ES', 'state': 'M', 'display_address': ['Plaza de Don Antonio de Andrés, 5', '28032 Madrid', 'Spain']}",+34 689 47 40 73,Vicus,,[],,,,,,,
3,Xing,4.0,"Avenida del Ensanche de Vallecas, 9, 28051 Madrid, Spain",Dim Sum Asian Fusion ,,xing-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/nK4nYF64sDJAXAKMlnzwdA/o.jpg,False,4,40.370836,-3.613179,"{'address1': 'Avenida del Ensanche de Vallecas, 9', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28051', 'country': 'ES', 'state': 'M', 'display_address': ['Avenida del Ensanche de Vallecas, 9', '28051 Madrid', 'Spain']}",+34 914 25 74 09,,,[],,,,,,,
4,Las Costillas,4.0,"Calle de Tajos Altos, 12, 28053 Madrid, Spain",Barbeque Steakhouses ,,las-costillas-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/77AYKWblwI-VUik4pZut5g/o.jpg,False,9,40.39504,-3.66666,"{'address1': 'Calle de Tajos Altos, 12', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28053', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Tajos Altos, 12', '28053 Madrid', 'Spain']}",+34 914 77 33 69,Las Costillas,,[],,,,,,,
5,La Merced,4.5,"Calle de Manuel Vélez, 8, 28031 Vallecas, Spain",Spanish Tapas/Small Plates ,,la-merced-vallecas,,False,3,40.37965,-3.62292,"{'address1': 'Calle de Manuel Vélez, 8', 'address2': '', 'address3': '', 'city': 'Vallecas', 'zip_code': '28031', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Manuel Vélez, 8', '28031 Vallecas', 'Spain']}",+34 913 03 51 11,La Merced,,[],,,,,,,
6,Churrería el Café de las Flores,4.0,"Avenida Ensanche de Vallecas, 29, 28031 Madrid, Spain",Cafeteria ,,churrería-el-café-de-las-flores-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/JWfaXOiWaHFhZQpuJNIt1g/o.jpg,False,3,40.3694478265892,-3.61062079668045,"{'address1': 'Avenida Ensanche de Vallecas, 29', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28031', 'country': 'ES', 'state': 'M', 'display_address': ['Avenida Ensanche de Vallecas, 29', '28031 Madrid', 'Spain']}",+34 617 42 13 98,,,[],,,,,,,
7,El Águila,4.5,"Calle del Lago Como, 2, 28032 Madrid, Spain",Spanish Wine Bars ,,el-águila-madrid-4,https://s3-media2.fl.yelpcdn.com/bphoto/rS_VrmypO3K_WQO32tilcw/o.jpg,False,3,40.401595039571,-3.60712162949983,"{'address1': 'Calle del Lago Como, 2', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28032', 'country': 'ES', 'state': 'M', 'display_address': ['Calle del Lago Como, 2', '28032 Madrid', 'Spain']}",+34 917 76 51 59,El Águila,,[],,,,,,,
8,El Mantel,5.0,"Calle del Puerto de Galapagar, 11, 28031 Madrid, Spain",Spanish ,,el-mantel-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/-9EpE4JeYxs4Um-PtfgZjw/o.jpg,False,1,40.3722922,-3.6180375,"{'address1': 'Calle del Puerto de Galapagar, 11', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28031', 'country': 'ES', 'state': 'M', 'display_address': ['Calle del Puerto de Galapagar, 11', '28031 Madrid', 'Spain']}",,El Mantel,,[],,,,,,,
9,Peggy Sue's,4.0,"Avenida de las Suertes, 60, 28051 Madrid, Spain",American (Traditional) ,,peggy-sues-madrid-6,https://s3-media3.fl.yelpcdn.com/bphoto/moussAsD4tJaxpztsQ62pQ/o.jpg,False,1,40.36745,-3.60066,"{'address1': 'Avenida de las Suertes, 60', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28051', 'country': 'ES', 'state': 'M', 'display_address': ['Avenida de las Suertes, 60', '28051 Madrid', 'Spain']}",+34 911 72 90 30,,,[],,,,,,,
