,name,rating,address,description,review,alias,image_url,is_closed,review_count,latitude,longitude,location,display_phone,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,El Asador de Enrique,5.0,"Calle Arroyo Bueno, 2, 28021 Madrid, Spain",Steakhouses ,,el-asador-de-enrique-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/BDCFzQRS9ZyOuFaDaR-3XA/o.jpg,False,2,40.34858443,-3.70425999,"{'address1': 'Calle Arroyo Bueno, 2', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28021', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Arroyo Bueno, 2', '28021 Madrid', 'Spain']}",+34 917 98 41 50,El Asador de Enrique,,[],,,,,,,
1,IGo Pasta,2.0,"Calle de Dolores Barranco, 88, 28026 Madrid, Spain",Chinese Asian Fusion Ramen ,"We've been in Spain for a week now. We were kind of tired of eating tapas so we want some hot soups. Went to have some ramen noodles because I was feeling a.... This place had pros and cons:

Pros: 
Great food. I really enjoyed the noodles! It had the kind of chewy noodle that I really like and the soup was good.... I had a chicken teriyaki ramen there, and to be honest, it's totally different from what normal people think it would be. The broth was made by soy sauce.... ",igo-pasta-madrid-2,https://s3-media3.fl.yelpcdn.com/bphoto/yEEVsdGBmfOkOEWDRLGAWQ/o.jpg,False,22,40.3828201,-3.7105899,"{'address1': 'Calle de Dolores Barranco, 88', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28026', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Dolores Barranco, 88', '28026 Madrid', 'Spain']}",+34 917 04 78 08,IGo Pasta,,[],,,,,,,
2,Royal Cantonés,2.0,"Calle Olvido, 92, 28026 Madrid, Spain",Dim Sum ,"Great Chinese restaurant in Madrid! Madrid is an amazing town for travel, but I'm still craving for Chinese food somehow. Found this restaurant in Madrid.... I decided to give it a try after the positive reviews in Yelp, and it turned out to be a great gastronomic experience. We ordered several dishes to share,.... It was already. It was nice seeing canto food on a menu in Madrid after being away from home for so long. I got the porridge and the siu mai. Porridge was.... ",royal-cantonés-madrid-2,https://s3-media4.fl.yelpcdn.com/bphoto/ThJ9mmJeEZHjOmm98kE7SA/o.jpg,False,25,40.38296,-3.70254,"{'address1': 'Calle Olvido, 92', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28026', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Olvido, 92', '28026 Madrid', 'Spain']}",+34 915 00 01 61,Royal Cantonés,,[],,,,,,,
3,Botafumeiro,4.0,"Calle de la Parra, 42, 28025 Madrid, Spain",Tapas Bars Dive Bars Spanish ,Look no further if you're in the Oporto area and in search for some value sized tapas and fresh seafood. The folks here at Botafumeiro will take care of you.... Excellent Service for our party of 7. We tried the best plates and were pleased with the quality. Delicious Cava sparkling and Albariño white wine.... ,botafumeiro-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/rANBOac3PBoAfvPB_IfIgw/o.jpg,False,9,40.38727,-3.73142,"{'address1': 'Calle de la Parra, 42', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28025', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de la Parra, 42', '28025 Madrid', 'Spain']}",+34 914 72 70 54,Botafumeiro,,[],,,,,,,
4,Tommy Mel's,4.0,"C.C. Parquesur, 28916 Leganés, Spain",American (Traditional) Burgers ,"El estilo de comida es americano, hamburguesas, wraps, ensaladas, onion rings. Los empleados muy atentos y rápidos atendiendo.. ",tommy-mels-leganés,https://s3-media2.fl.yelpcdn.com/bphoto/2k9zA32-yU1XXVqwPl-eIg/o.jpg,False,5,40.3397950597346,-3.73279462692267,"{'address1': 'C.C. Parquesur', 'address2': '', 'address3': '', 'city': 'Leganés', 'zip_code': '28916', 'country': 'ES', 'state': 'M', 'display_address': ['C.C. Parquesur', '28916 Leganés', 'Spain']}",+34 916 80 47 16,Tommy Mel's,,[],,,,,,,
5,Bodega La Alegría,5.0,"Calle Doctor Criado, 9, 28021 Madrid, Spain",Spanish ,,bodega-la-alegría-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/DjQeY9ow9c7-xGbCt8d-1Q/o.jpg,False,1,40.3480297460004,-3.70466206222773,"{'address1': 'Calle Doctor Criado, 9', 'address2': '', 'address3': None, 'city': 'Madrid', 'zip_code': '28021', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Doctor Criado, 9', '28021 Madrid', 'Spain']}",+34 917 97 30 40,,,[],,,,,,,
6,Taberna La Andaluza,3.5,"Calle de Antonio López, 239, 28041 Madrid, Spain",Tapas Bars Tapas/Small Plates ,,taberna-la-andaluza-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/LLQkhDviOHxmPoQdQia9eg/o.jpg,False,10,40.3802136789814,-3.69530751739332,"{'address1': 'Calle de Antonio López, 239', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28041', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Antonio López, 239', '28041 Madrid', 'Spain']}",+34 914 75 89 12,Taberna La Andaluza,,[],,,,,,,
7,La Casona,4.0,"Polígono Industrial La Resina, Calle Ciudad de Frías, 11, 28021 Villaverde, Spain",Spanish ,,la-casona-villaverde,https://s3-media3.fl.yelpcdn.com/bphoto/BII48BLzADXgOgtAI8reQg/o.jpg,False,1,40.3356790253721,-3.71417342641644,"{'address1': 'Polígono Industrial La Resina', 'address2': 'Calle Ciudad de Frías, 11', 'address3': '', 'city': 'Villaverde', 'zip_code': '28021', 'country': 'ES', 'state': 'C', 'display_address': ['Polígono Industrial La Resina', 'Calle Ciudad de Frías, 11', '28021 Villaverde', 'Spain']}",+34 649 41 00 54,La Casona,,[],,,,,,,
8,La Madrina,5.0,"Paseo de Alberto Palacios, 50, 28021 Madrid, Spain",Latin American Seafood ,,la-madrina-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/q-AwNuoFqsJZS0eq6vpRpg/o.jpg,False,1,40.3440981605283,-3.71351536363363,"{'address1': 'Paseo de Alberto Palacios, 50', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28021', 'country': 'ES', 'state': 'M', 'display_address': ['Paseo de Alberto Palacios, 50', '28021 Madrid', 'Spain']}",+34 910 81 17 70,,,[],,,,,,,
9,El Yate De Vigo,4.0,"Calle José del Pino, 9, 28021 Madrid, Spain",Spanish ,,el-yate-de-vigo-madrid,,False,1,40.3508010083891,-3.6913284931022,"{'address1': 'Calle José del Pino, 9', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28021', 'country': 'ES', 'state': 'M', 'display_address': ['Calle José del Pino, 9', '28021 Madrid', 'Spain']}",+34 917 97 00 52,El Yate De Vigo,,[],,,,,,,
