,name,rating,address,description,review,alias,image_url,is_closed,review_count,latitude,longitude,location,display_phone,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,El Güero,5.0,"Calle Emigrantes, 2, 28043 Madrid, Spain",Latin American Mexican ,"We love this place, and come for work lunches all the time. Excellent Venezuelan and Mexican. Everything we've had has been nice but.... Antonio was great. My friends and I came in late tonight to find a table and the place was (predictably) packed. There was no possible way for them to get a.... Excellent service in a small restaurant with about 12 tables in a quiet neighborhood. 
Food is delicious and the service is very friendly and fast. There.... ",el-güero-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/qwoMMzr8DmT5RdufhZLkqQ/o.jpg,False,28,40.4659061,-3.6359818,"{'address1': 'Calle Emigrantes, 2', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28043', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Emigrantes, 2', '28043 Madrid', 'Spain']}",+34 917 59 16 28,El Güero,,[],,,,,,,
1,Casa Benigna,5.0,"Calle Benigno Soto, 9, 28002 Madrid, Spain",Arroceria / Paella ,"Casa Benigna and its staff were absolutely wonderful! It was recommended to me by a Madrileño friend as having the best rice, and that was totally accurate..... EAT HERE IMMEDIATELY! I cannot recommend this quaint restaurant enough!The staff is amazing, caring and genuine. Impeccable service. They treat you like.... Great food and outstanding service-good interiors My husband and i came for pre birthday dinner and not only enjoyed the food but the owners were so.... ",casa-benigna-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/tbpiqnDkAshi2LiU9CMs3Q/o.jpg,False,61,40.448094,-3.6743163,"{'address1': 'Calle Benigno Soto, 9', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28002', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Benigno Soto, 9', '28002 Madrid', 'Spain']}",+34 914 13 33 56,Casa Benigna,,[],,,,,,,
2,Sala de Despiece,5.0,"Calle de Ponzano, 11, 28010 Madrid, Spain",Gastropubs Tapas Bars Tabernas ,"An amazing meal!

It's an omakase style dinner, pre fixe, with the ability to add on sides, but with the amount of food, there is no need for adding.... Amazing, unlike anything. Smart concept, I've ever experienced before. 
Make reservations and come open minded to try things, you typically don't like. 
And.... Ok so this review is technically for the SDD2 location, but they are not on Yelp so I will add it here!

Made a reservation a few weeks prior and came for.... ",sala-de-despiece-madrid-2,https://s3-media3.fl.yelpcdn.com/bphoto/tjnNlK16FUrW-WSm7eh1OA/o.jpg,False,84,40.437931,-3.699483,"{'address1': 'Calle de Ponzano, 11', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28010', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Ponzano, 11', '28010 Madrid', 'Spain']}",+34 917 52 61 06,Sala de Despiece,,[],,,,,,,
3,Goiko Grill,4.0,"Calle de María de Molina, 20, 28006 Madrid, Spain",Burgers American (Traditional) Cafeteria ,"There is no other word than AMAZING !!!! Best burgers i ever had and believe me, i ate a lot of burgers in my life !
I tried almost the whole menu by now.... After three weeks in Europe (and lots of our own cooking,) we were jonesing for a premium burger. Lots of local and chain options where we're staying in the.... Well finally took the time to try out the famous hamburgues in Goiko grill. This franchise is all over Spain, and now I was gonna taste a burguer from them.... ",goiko-grill-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/Grb4NFvSihd6Lxyjpfi6rA/o.jpg,False,72,40.437668,-3.686709,"{'address1': 'Calle de María de Molina, 20', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28006', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de María de Molina, 20', '28006 Madrid', 'Spain']}",+34 910 60 99 36,Goiko Grill,,[],,,,,,,
4,Diverxo,5.0,"Calle Padre Damián, 23, 28020 Madrid, Spain",Signature Cuisine Mediterranean ,"Diverxo is one of the most memorable, mindfuck meals I've had in my life. Highlight of my year and my trip, and Top 5 meals of my life so far.

If you're on.... I came in with lofty expectations and they just weren't met.  Ambiance and service were top notch.

Pace of the meal was too long, but it almost had to be.... Wonderful dining experience.  Food as art.  Finesse to the extreme.  Every flavor one can imagine.  Wine pairing was best ever. Nine unique and perfectly.... ",diverxo-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/UqDT1RAuOOEqA5_u8ju-wg/o.jpg,False,53,40.457888263931,-3.68604997698104,"{'address1': 'Calle Padre Damián, 23', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28020', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Padre Damián, 23', '28020 Madrid', 'Spain']}",+34 915 70 07 66,Diverxo,,[],,,,,,,
5,Bacira,5.0,"Calle del Castillo, 16, 28010 Madrid, Spain",Spanish Asian Fusion ,"An affordable Michelin-starred restaurant in Madrid! 

Bacira, like many Spanish restaurants, has a menú del día for weekday lunches, and this one is easily.... Alert alert, this is a legitimate destination restaurant if you're in Madrid. I honestly can't remember the last meal I had at this price point -- $115 US.... MUST HAVE THE FRESH TUNA AND ALSO THE RISOTTO!!!

Everything we ate here was top notch. The flavors were all unlike anything I've ever ate. The atmosphere.... ",bacira-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/aHvHD03SYBgutgGDjwKzkA/o.jpg,False,20,40.43391466,-3.69916856,"{'address1': 'Calle del Castillo, 16', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28010', 'country': 'ES', 'state': 'M', 'display_address': ['Calle del Castillo, 16', '28010 Madrid', 'Spain']}",+34 918 66 40 30,Bacira,,[],,,,,,,
6,A' Fenestella,4.0,"Calle de Torquemada, 25, 28043 Madrid, Spain",Italian Pizza ,"Some of the best Italian food I've ever had.  The pizza was incredible, the lasagna was the best I've had, period and the staff was so incredibly friendly.... Good italian food and service for a very reasonable price. The calzone was amazing and the other pizzas we ordered very good too. The only inconvenient is.... ",a-fenestella-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/Ao0v7UZuUjYfoKiLwkZfGA/o.jpg,False,19,40.46842,-3.63845,"{'address1': 'Calle de Torquemada, 25', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28043', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Torquemada, 25', '28043 Madrid', 'Spain']}",+34 913 82 56 80,A' Fenestella,,[],,,,,,,
7,Tandoori Station,5.0,"Calle de José Ortega y Gasset, 89- 91, 28006 Madrid, Spain",Indian ,"Lets start with - you need reservation. If u do not have one, you will need to wait till 11:30 or so to get in. This place serves individulized Indian food,.... Very good Indian food and service  in a lovely little restaurant.  Pretty expensive which is factored in my rating. We enjoyed our chicken tikka masala and.... Great food and service. As spicy as you want it. Always worth a visit if you can get a reservation.. ",tandoori-station-madrid-2,https://s3-media2.fl.yelpcdn.com/bphoto/M4yJUZhnss9L2vM7bzcLBw/o.jpg,False,74,40.429824,-3.6709674,"{'address1': 'Calle de José Ortega y Gasset, 89- 91', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28006', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de José Ortega y Gasset, 89- 91', '28006 Madrid', 'Spain']}",+34 914 01 22 28,Tandoori Station,,[],,,,,,,
8,La Gabinoteca,3.0,"Calle de Fernández de la Hoz, 53, 28003 Madrid, Spain",Spanish Modern European ,"The food was amazing and the service was top notch. We ordered a total of 5 different dishes, a pitcher of sangria and a desert. 

The tapa dishes were all.... Looking for a late night ""snack"", (just before midnight) we walked around the corner from our hotel and discovered La Gabinoteca, a quaint Tapas restaurant.... Nice place, with a different design. We went for dinner, and had: caesar salad (which comes in a different way, very nice by the way); vieiras tapas and.... ",la-gabinoteca-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/jEP4EGuTpXNzAMPypuREcw/o.jpg,False,63,40.4389675822825,-3.69478945691141,"{'address1': 'Calle de Fernández de la Hoz, 53', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28003', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Fernández de la Hoz, 53', '28003 Madrid', 'Spain']}",+34 913 99 15 00,La Gabinoteca,,[],,,,,,,
9,Mad Brewing,5.0,"Calle Julian Camarillo, 19, 28037 Madrid, Spain",Breweries Gastropubs ,"I need to give credit where credit is due. Mad(drid) Brewing has an excellent Imperial IPA. Maybe it's because I'd been walking all day, or because I hadn't.... Delicious beer, friendly & patient staff (our Español is atrocious). We had nachos, vegan burger, brisket (recommended by staff) and a few other items - all.... Quite surprising to find a quality Brewery in Madrid. Excellent food and warm atmosphere!! I will return .Que bueno !. ",mad-brewing-madrid,https://s3-media3.fl.yelpcdn.com/bphoto/KYMe1SOhAY6Fyw0Efeq-5Q/o.jpg,False,19,40.43448,-3.63083,"{'address1': 'Calle Julian Camarillo, 19', 'address2': None, 'address3': '', 'city': 'Madrid', 'zip_code': '28037', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Julian Camarillo, 19', '28037 Madrid', 'Spain']}",+34 914 40 23 95,Mad Brewing,,[],,,,,,,
