,id,name,alias,categories,description,latitude,longitude,address,phone,rating,review_count,review,url,image_url,is_closed,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,gdFMBW7pQtHTe6HYazCC6w,Ten con Ten,ten-con-ten-madrid,"[{'alias': 'modern_european', 'title': 'Modern European'}]",Modern European ,40.42795714,-3.68870527,"Calle de Ayala, 6, 28001 Madrid, Spain",+34915759254,5,175,"This place came highly recommended by a friend who had just visited Madrid on his honeymoon--and it did not ​. The atmosphere was an intimate setting, yet.... Because, Madrid, in reality, is nothing special. It does not have a great river, and hardly any skyscrapers. No channels, no lakes. Neither glorious ruins,.... We visited this restaurant because it was highly recommended by a friend and it didn't disappoint. We had a great meal and service was outstanding.  We.... ",https://www.yelp.com/biz/ten-con-ten-madrid?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media2.fl.yelpcdn.com/bphoto/kfmmQ0_bpqioyMxRPiKKgQ/o.jpg,False,€€€,,[],,,,,,,
1,uqBOHaIpdPvUkB0Gb6NZ1w,El Paraguas,el-paraguas-madrid,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'asturian', 'title': 'Asturian'}]",Spanish Asturian ,40.4237396136235,-3.68582059325423,"Calle de Jorge Juan, 16, 28001 Madrid, Spain",+34914315950,1,55,"The restaurant offers an elegant and formal ambience with a great atmosphere and professional and customer service driven professionals in the food.... I would highly discourage anyone from eating at El Paraguas while visiting Madrid, despite the oddly high ratings. Clearly the customers who have reviewed.... Tiene trenta minutos Para conseguir agua...servicio muy mal,  comida nada especial y cara. Buenos noches!! Nunca volver.. ",https://www.yelp.com/biz/el-paraguas-madrid?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media3.fl.yelpcdn.com/bphoto/AlXKZBdm659SkFDTfFqOfA/o.jpg,False,€€€,,[],,,,,,,
2,zdmuktDbomXeE_x07aRk4A,Street Xo,street-xo-madrid-2,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'spanish', 'title': 'Spanish'}]",Gastropubs Asian Fusion Spanish ,40.427645,-3.687092,"Calle de Serrano, 52, 28001 Madrid, Spain",+34915319884,2,98,"Awesome and amazing. I first came here over 5 years ago when I couldn't get into David Munoz' Diver XO. It was then as is now: amazing. Street is a lot more.... After watching the Netflix show "" Somebody feed Phil"" that featured Street XO, we had so much exciting anticipation coming to the restaurant finally. This.... Website states the line is available at 7:30PM.We arrived at 7:30PM and there were already 20 people sitting in line. SO you can actually get there at.... ",https://www.yelp.com/biz/street-xo-madrid-2?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media2.fl.yelpcdn.com/bphoto/-61fEEwji-AFQ7EelPAVuA/o.jpg,False,€€€,,[],,,,,,,
3,VVYZCMM8BWJA1GEBalOR5w,Goiko Grill,goiko-grill-madrid-4,"[{'alias': 'burgers', 'title': 'Burgers'}]",Burgers ,40.4289579506968,-3.675554,"Calle Conde de Peñalver, 41, 28006 Madrid, Spain",+34910609616,4,46,"Terrible.  They served raw burgers, not rare, blue.  After taking them back to our hotel and figuring out the quality issue, we returned to fix the error,.... Muy buenas hamburguesas. De las mejores que he comido en estos años. La carne es muy buena, las patatas increíbles (muchos restaurantes las dejan un poco.... Mac and cheese balls were unreal, the burger was great as well however i asked for well done and found the burger to be very pink.. ",https://www.yelp.com/biz/goiko-grill-madrid-4?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media3.fl.yelpcdn.com/bphoto/omhUuUDPKToC7yUfdQoSig/o.jpg,False,€€,,[],,,,,,,
4,iNtK9yWv7wOXaPai3uAv-g,InClan Brutal,inclan-brutal-madrid,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",Tapas Bars Mediterranean ,40.41508,-3.70192,"Calle Álvarez Gato, 4, 28012 Madrid, Spain",+34910238038,5,171,Amazing cocktails and good service!!!!! Also love their decor and fantastic cocktail menu.. This is a place you go for the atmosphere and for fun pictures. It is exactly what you expect. Every part of the restaurant is thought out. From the selfie.... How fun is this place?!? I am so glad I found this place on yelp. We were not hungry when we came in but needed a place to sit before heading to the.... ,https://www.yelp.com/biz/inclan-brutal-madrid?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media3.fl.yelpcdn.com/bphoto/qnACZF6n1EPH4hxd5XiVPQ/o.jpg,False,€€,,[],,,,,,,
5,uHL7ravKYyrTl07fv_hfUg,Rosi La Loca,rosi-la-loca-madrid,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'spanish', 'title': 'Spanish'}]",Tapas Bars Spanish ,40.4158141746249,-3.70297881289753,"Calle de Cádiz, 4, 28012 Madrid, Spain",+34915326681,4,194,"Rosie La Loca is the result of someone saying ""how can make tapas fun, funky, and slightly fairytalish"".  They achieved their vision .   There is no moment,.... Super underrated here in Madrid. The first and last place for original Tapas. We accidentally stumbled in on this place and were blown away. Then traveled.... We went here our first night in Madrid after searching quickly for someplace to eat, and it was packed. If you want to eat inside, you have to make a.... ",https://www.yelp.com/biz/rosi-la-loca-madrid?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media3.fl.yelpcdn.com/bphoto/SN6sHZ3lOLs4rLEMBPoMkQ/o.jpg,False,€€€,,[],,,,,,,
6,9Z5erguQFll7SZ4nLshfzQ,La Tasqueria,la-tasqueria-madrid-3,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",Spanish Mediterranean ,40.422279,-3.67374,"Calle Duque de Sesto, 48, 28009 Madrid, Spain",+34914511000,5,22,"This is definitely my favorite restaurant in Madrid, they are wild enough to make anything into best food, and the sauces they make are so creative ! Every.... Like Brad M., my boyfriend and I also decided to make this our last meal in Spain.  After two weeks roaming around this lovely country, we decided to end.... To our surprise we were able to get last-minute reservations to this place on a Friday night for our last dinner in Spain.  We wanted to make sure it was.... ",https://www.yelp.com/biz/la-tasqueria-madrid-3?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media2.fl.yelpcdn.com/bphoto/71cLsfRuUN6tw0yUixEDOw/o.jpg,False,€€€,,[],,,,,,,
7,JnokxcSJxD9LwLjyEbOTbQ,Cañadío,cañadío-madrid-3,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",Spanish Tapas/Small Plates ,40.433219,-3.674774,"Calle del Conde de Peñalver, 86, 28006 Madrid, Spain",+34912819192,5,21,"A gem in the non touristic neighborhood!

On my last day during a 3 week vacation to Spain, found this splendid restaurant near my hotel. After a day trip.... Very nice outdoor space friendly staff ask for English menu as no one spoke great English. Fresh anchovies are the best and they say they have the best.... SUMMARY: Eat here. You won't regret it. Downstairs tapas and drinks. Upstairs - upscale dining. Prepare to pay appropriately. 

FOOD: 5 stars - MUST EATS -.... ",https://www.yelp.com/biz/ca%C3%B1ad%C3%ADo-madrid-3?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media1.fl.yelpcdn.com/bphoto/Ki4njWOyvu9OXWGQpSiI2Q/o.jpg,False,€€,,[],,,,,,,
8,Mmby569UXW0mMO0NtXsCRw,Tandoori Station,tandoori-station-madrid-2,"[{'alias': 'indpak', 'title': 'Indian'}]",Indian ,40.429824,-3.6709674,"Calle de José Ortega y Gasset, 89- 91, 28006 Madrid, Spain",+34914012228,5,74,"Lets start with - you need reservation. If u do not have one, you will need to wait till 11:30 or so to get in. This place serves individulized Indian food,.... Very good Indian food and service  in a lovely little restaurant.  Pretty expensive which is factored in my rating. We enjoyed our chicken tikka masala and.... Great food and service. As spicy as you want it. Always worth a visit if you can get a reservation.. ",https://www.yelp.com/biz/tandoori-station-madrid-2?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media2.fl.yelpcdn.com/bphoto/M4yJUZhnss9L2vM7bzcLBw/o.jpg,False,€€,,[],,,,,,,
9,ObSKa7G0d3mO3eBYPSlPXw,La Gastro,la-gastro-madrid,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",Gastropubs Spanish Tapas Bars ,40.42129,-3.70289,"Calle del Barco, 7, 28004 Madrid, Spain",+34913642263,5,68,"Highly recommend for tapas and drinks!!

We found La Gastro on yelp since we were at a cafe close by and wanted to stop for dinner. They open at 9pm and.... Fusion of Spanish, Asian, Middle Eastern and Latin American influences - this is a gastronomical experience that blew our minds away. We tried the croqueta.... As Americans in Madrid who are not interested in tourist fare we wanted to get away from Gran Via. We read good reviews about La Gastro and gave it a shot..... ",https://www.yelp.com/biz/la-gastro-madrid?adjust_creative=ynAYtxYjg9cJkqZFj9K40w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=ynAYtxYjg9cJkqZFj9K40w,https://s3-media1.fl.yelpcdn.com/bphoto/9JvcVXExwTNtNjF3tmcc1A/o.jpg,False,€€,,[],,,,,,,
