,id,name,alias,categories,description,latitude,longitude,address,phone,rating,review_count,review,url,image_url,is_closed,price,hours,transactions,languages,attributes,transit,best_time,delivery,pickup,online_ordering
0,zMSgFSyd4pIJNByFrOZJgg,Mad Brewing,mad-brewing-madrid,"[{'alias': 'breweries', 'title': 'Breweries'}, {'alias': 'gastropubs', 'title': 'Gastropubs'}]",Breweries Gastropubs ,40.43448,-3.63083,"Calle Julian Camarillo, 19, 28037 Madrid, Spain",+34914402395,5.0,19,"I need to give credit where credit is due. Mad(drid) Brewing has an excellent Imperial IPA. Maybe it's because I'd been walking all day, or because I hadn't.... Delicious beer, friendly & patient staff (our Español is atrocious). We had nachos, vegan burger, brisket (recommended by staff) and a few other items - all.... Quite surprising to find a quality Brewery in Madrid. Excellent food and warm atmosphere!! I will return .Que bueno !. ",https://www.yelp.com/biz/mad-brewing-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media3.fl.yelpcdn.com/bphoto/KYMe1SOhAY6Fyw0Efeq-5Q/o.jpg,False,€€,,[],,,,,,,
1,C9GZWaugCqOlNsHEzQBbug,La Tagliatella,la-tagliatella-madrid,"[{'alias': 'italian', 'title': 'Italian'}]",Italian ,40.44034,-3.62841,"Calle de Alcalá, 498, 28027 Madrid, Spain",+34913046306,5.0,20,"Stopped by this restaurant after passing by Geno's. So glad we did. I had the lasagna and my husband had the risotto with prawns.  It was so delicious.. It was great experience! My husband and I had late dinner here, we were very hungry. Food was soooo delicious, it was probably the best pasta that we had!.... Excellent! Wait staff was extremely friendly, professional, and accomodating. Food was very good, especially the chocolate truffles.. ",https://www.yelp.com/biz/la-tagliatella-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media1.fl.yelpcdn.com/bphoto/dom9V0kvs-DlajJan6i8UA/o.jpg,False,€€,,[],,,,,,,
2,-rMXdy6sb84bFR-OUkRxCw,Mesón Riaño,mesón-riaño-madrid,"[{'alias': 'spanish', 'title': 'Spanish'}, {'alias': 'tapas', 'title': 'Tapas Bars'}]",Spanish Tapas Bars ,40.4332781850316,-3.61106369644403,"Calle María Sevilla Diago, 9, 28022 Madrid, Spain",+34918615096,4.0,1,,https://www.yelp.com/biz/mes%C3%B3n-ria%C3%B1o-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media3.fl.yelpcdn.com/bphoto/RHJk48eaFOyk9Px0EIfWVQ/o.jpg,False,€,,[],,,,,,,
3,ZS5lbhQfMRI7sw1QVKSrQg,Green Tavern,green-tavern-madrid,"[{'alias': 'irish_pubs', 'title': 'Irish Pub'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]",Irish Pub Burgers Tapas/Small Plates ,40.4398112,-3.6190623,"Plaza de Cronos, 5, 28037 Madrid, Spain",+34914400459,4.0,8,,https://www.yelp.com/biz/green-tavern-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media4.fl.yelpcdn.com/bphoto/SXeVgayAwyVDQR0HYg_UJw/o.jpg,False,€,,[],,,,,,,
4,Q1lL7P9fVmXdxfyi6J7ZiA,Vicus,vicus-madrid-2,"[{'alias': 'tapas', 'title': 'Tapas Bars'}]",Tapas Bars ,40.40191,-3.6056,"Plaza de Don Antonio de Andrés, 5, 28032 Madrid, Spain",+34689474073,4.5,7,,https://www.yelp.com/biz/vicus-madrid-2?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media3.fl.yelpcdn.com/bphoto/fXKy2vyfrMDXgAuAb8KT2Q/o.jpg,False,€,,[],,,,,,,
5,92SZS7uHcAxYp7rqNuH7gA,O'Camiño,o-camiño-madrid,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'galician', 'title': 'Galician'}, {'alias': 'arroceria_paella', 'title': 'Arroceria / Paella'}]",Seafood Galician Arroceria / Paella ,40.4265169081167,-3.60421597322019,"Calle de Suecia, 43, 28022 Madrid, Spain",+34913067993,3.5,3,,https://www.yelp.com/biz/o-cami%C3%B1o-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media2.fl.yelpcdn.com/bphoto/sR8e8LKN8L5w58oBIY86Qg/o.jpg,False,€€€,,[],,,,,,,
6,BmBadMjWGefvpg2oO5hlVw,Sabor Norteño,sabor-norteño-madrid,"[{'alias': 'peruvian', 'title': 'Peruvian'}]",Peruvian ,40.43397,-3.63887,"Calle Vázquez de Mella, 37, 28017 Madrid, Spain",+34913671047,5.0,5,Kind of a hidden gem in an unassuming neighbourhood with an amazing staff. Really amazing vibes and the food was very satisfying. ,https://www.yelp.com/biz/sabor-norte%C3%B1o-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media3.fl.yelpcdn.com/bphoto/lrUJtKVUR-DoIrnEaKO_CQ/o.jpg,False,€,,[],,,,,,,
7,-oMXZKZovooToC_U1yu9pA,Victoria,victoria-madrid-3,"[{'alias': 'chinese', 'title': 'Chinese'}]",Chinese ,40.42199,-3.61277,"Avenida de Guadalajara, 36, 28032 Madrid, Spain",+34913242017,3.5,3,,https://www.yelp.com/biz/victoria-madrid-3?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media2.fl.yelpcdn.com/bphoto/A4Cb8p1KCJWPZ_U4ChmBHw/o.jpg,False,€,,[],,,,,,,
8,Ihmcc8zoaxoisnyiVzb3Ow,Pulperia Airiños,pulperia-airiños-madrid-4,"[{'alias': 'galician', 'title': 'Galician'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}]",Galician Mediterranean ,40.43296,-3.60572,"Calle de Suecia, 96, 28022 Madrid, Spain",+34914047659,3.5,3,,https://www.yelp.com/biz/pulperia-airi%C3%B1os-madrid-4?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media3.fl.yelpcdn.com/bphoto/caTVXQwrQLvKeeBKMPT-WQ/o.jpg,False,€€,,[],,,,,,,
9,mXlpeuQcCUwX9rQWRROjWQ,La Grada,la-grada-madrid,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",Burgers Beer Bar ,40.433762,-3.606414,"Calle de Suecia, 95, 28022 Madrid, Spain",+34649704398,4.0,1,,https://www.yelp.com/biz/la-grada-madrid?adjust_creative=z8U9P3NucyfGO41pAru5Lw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=z8U9P3NucyfGO41pAru5Lw,https://s3-media3.fl.yelpcdn.com/bphoto/KanrfCVqxOuJiMA0CDn6gA/o.jpg,False,,,[],,,,,,,
