id,name,rating,address,description,review,alias,image_url,is_closed,review_count,latitude,longitude,location,display_phone,price,distrito
GV-WXC3F4MUzwjhAH_f_XA,El Rincón Asturiano,1.0,"Calle de las Delicias, 26, 28045 Madrid, Spain",Spanish Asturian Tapas Bars ,"We are here for dinner again on two consecutive nights! The dinner and the service was excellent both times. 

We came here because the hotel desk person.... Excellent quality food , not expensive , great service 
Well worth the visit ........................... Our first stop in Madrid and the service was awful . Disappointed as the menu looked amazing. The waitress was extremely rude and she seemed bother when we.... ",el-rincón-asturiano-madrid-2,https://s3-media1.fl.yelpcdn.com/bphoto/cS74hsTGYOExuSSObrT9lQ/o.jpg,False,32,40.4039846,-3.6922585,"{'address1': 'Calle de las Delicias, 26', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28045', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de las Delicias, 26', '28045 Madrid', 'Spain']}",+34 915 30 89 68,€€,Arganzuela
7zpK35tqV8uFtg9BGwfbRg,Donde da la Vuelta el Viento,5.0,"Calle de Mesón de Paredes, 81, 28012 Madrid, Spain",Tapas Bars Spanish Modern European ,"Great place with friendly staff. I came for take away and they only had a menu in Spanish, but the man who served me translated the entire menu for me line.... Great place, super friendly, good prices, quality food. I forgot my Hat, they chased me down the street to give it back. Gracias Bonita, nice lady serving.... Awsome place, we came late but they still welcomed us really  well. We ordered the chicken meatballs, the salad, and the hummus and everything tasted.... ",donde-da-la-vuelta-el-viento-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/4YsbpQcHowTwygZFxFGO2w/o.jpg,False,37,40.4061902,-3.7014406,"{'address1': 'Calle de Mesón de Paredes, 81', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28012', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Mesón de Paredes, 81', '28012 Madrid', 'Spain']}",+34 910 17 72 40,€,Arganzuela
cxypKAKs_zzJ8kvB_6G2Bw,El Valle,4.0,"Calle de Sebastián Herrera, 6, 28012 Madrid, Spain",Asturian Tapas Bars ,"The size of everything you order at this restaurant is epic in size!

If you're looking for a tasty place to eat near the theaters in the area this is the.... We were walking by and noticed this place was playing the USA - Belgium match on the flatscreen, and so the three of us ducked inside. We were charmed.... ",el-valle-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/RApDykFTDKcGjauE5utikA/o.jpg,False,21,40.40378,-3.69935,"{'address1': 'Calle de Sebastián Herrera, 6', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28012', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Sebastián Herrera, 6', '28012 Madrid', 'Spain']}",+34 914 67 70 07,€,Arganzuela
J6Mq8jWYD9ntHd0u4OQr9A,La Pequeña Graná,4.0,"Calle de Embajadores, 124, 28045 Madrid, Spain",Tapas Bars Tapas/Small Plates Beer Bar ,"Delicious tapas with awesome service. We ordered several types of tapas and they were all delicious. Wonderful service by the staff. Highly recommend it.. I was staying nearby, and sadly only ventured here on my last night. This place is how broke Madrileños do it, napkins on the floor and all. If you sit.... Well, I'm eating at the bar now. The place is not gonna change your life, but the beer is good, and the tapas are good even if they are on the small side..... ",la-pequeña-graná-madrid-2,https://s3-media1.fl.yelpcdn.com/bphoto/BhD7tJtaMotbAC706Q1vFg/o.jpg,False,35,40.3993899,-3.69851,"{'address1': 'Calle de Embajadores, 124', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28045', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Embajadores, 124', '28045 Madrid', 'Spain']}",+34 914 74 26 30,€,Arganzuela
om6h-4trsKlw9cOp53QXcg,Hermanos Egea,4.0,"Calle de la Batalla del Salado, 33, 28045 Madrid, Spain",Spanish Mediterranean Tapas/Small Plates ,"The service was phenomenal, very understanding staff. I had a delicious menu del dia and the price was 10.50 euros. Great local atmosphere and the food was.... ",hermanos-egea-madrid-2,https://s3-media2.fl.yelpcdn.com/bphoto/rg5ZUM8DLSORZJGyNCCk7g/o.jpg,False,3,40.40016,-3.69613,"{'address1': 'Calle de la Batalla del Salado, 33', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28045', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de la Batalla del Salado, 33', '28045 Madrid', 'Spain']}",+34 914 68 46 82,€€,Arganzuela
q6BFfigGUsHK7PoQi-r2_w,Atocha Tandoori,5.0,"Paseo de Santa Maria de la Cabeza, 27, 28045 Madrid, Spain",Indian ,South Asian cuisine of Bangladesh influence. The papad with chutney sauces was less spiced and not as potent as the Indian cuisine options of which I am.... Amazing food for a great price! Chicken tandoori is deliciously spicy and satisfying! The biryani was also very very good. Highly recommend. I wish I could rate this place more than 5 stars. It was AMAZING! My partner and I had been in Spain for almost 10 days when we came here and let me just.... ,atocha-tandoori-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/Y9ts7QVLhxZAfPA9voaTdQ/o.jpg,False,14,40.4051,-3.69527,"{'address1': 'Paseo de Santa Maria de la Cabeza, 27', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28045', 'country': 'ES', 'state': 'M', 'display_address': ['Paseo de Santa Maria de la Cabeza, 27', '28045 Madrid', 'Spain']}",+34 911 38 66 10,€€,Arganzuela
6NsFBZG9XtYOT2ZL5Od80A,Bodegas Rosell,4.0,"Calle del Gral. Lacy, 14, 28045 Madrid, Spain",Spanish Tapas/Small Plates ,"Stayed at Marriott AC Atocha for a few nights on the way to the Canaries.  Perfect dinner after a long trip flying in from the US. I wanted something close,.... Amazing place to eat! Loved all the variety. 
Service was great! Our waiver was warm and welcoming, made some jokes and took good care of us!. Excellent food, neighborhood restaurant.
Enjoyed the Spanish Omelette; the tomato and Brie salad was epic.
A small space, loud, but really relaxed and.... ",bodegas-rosell-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/KBa9at1vIpEeeM1_wK8nNQ/o.jpg,False,30,40.403755,-3.6909,"{'address1': 'Calle del Gral. Lacy, 14', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28045', 'country': 'ES', 'state': 'M', 'display_address': ['Calle del Gral. Lacy, 14', '28045 Madrid', 'Spain']}",+34 914 67 84 58,€€,Arganzuela
z8GLIMlrmt_m_dIdfj0BIQ,Pui Thai Tapas,5.0,"Calle de José Antonio de Armona, 7, 28012 Madrid, Spain",Thai ,"A Legit Thai food from me (A Thai) just the items you see in the menu makes me excited right away! It looks like real Thai food from home! Everything taste.... Love, love, love our Thai tapas.  It's just what we needed after almost two weeks eating tapas and paella!  

We took the Metro from Sol which was an easy 3.... Like being back in Thailand and only dining at the best restaurants.  Pui's Thai offerings are fresh, authentic (with some updating -- even better) served.... ",pui-thai-tapas-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/AiqIc5a8onDrFtV6S3AlfA/o.jpg,False,26,40.4045817807007,-3.6966608723526,"{'address1': 'Calle de José Antonio de Armona, 7', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28012', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de José Antonio de Armona, 7', '28012 Madrid', 'Spain']}",+34 914 68 24 77,€€,Arganzuela
NG4lZn1VmumeF8kj9iUXCQ,Buen Gusto,5.0,"Paseo de Santa María de la Cabeza, 60, 28045 Madrid, Spain",Chinese Asian Fusion ,"Would definitely recommend, staff was super friendly. Great selection of authentic chinese cuisine. Personally, really liked the zongzi- made in house- ,.... The food is tasty, and the menu extensive. For a person not versed in authentic  Chinese food there are some more typical dishes available. Everything I saw.... Authentic Chinese food in a residential area near the Atocha train station and Park Retiro. Price is high, but worth the money. Waiters and waitresses are.... ",buen-gusto-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/0p03qlCnuBJpOXgR9WO9CA/o.jpg,False,17,40.40173,-3.69881,"{'address1': 'Paseo de Santa María de la Cabeza, 60', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28045', 'country': 'ES', 'state': 'M', 'display_address': ['Paseo de Santa María de la Cabeza, 60', '28045 Madrid', 'Spain']}",+34 915 30 50 62,€€,Arganzuela
jUpmOhgn-MsKBS72FunUfQ,La Tabacalera,3.0,"Calle de Embajadores, 53, 28012 Madrid, Spain",Social Clubs Coffee & Tea ,"Former Tobacco factory turned to a free of charge independent art venue with wide range of activities(from Argentinian tango to a prof. wrestling /shows,.... The gallery space is very nice and I have seen some lucha libre here in an adjacent space. Apparently there used to be some useful and informative workshops.... ",la-tabacalera-madrid,https://s3-media4.fl.yelpcdn.com/bphoto/iDKzkZIxt68g7E7pVpJ_Sg/o.jpg,False,18,40.40614,-3.70307,"{'address1': 'Calle de Embajadores, 53', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28012', 'country': 'ES', 'state': 'M', 'display_address': ['Calle de Embajadores, 53', '28012 Madrid', 'Spain']}",,€,Arganzuela
mqRnvNcvbhh7eogDbGQMrA,Go Hyang Mat,5.0,"Calle del Divino Vallés, 31, 28045 Madrid, Spain",Korean ,"Visiting from LA area, family was craving for Korean food. Had chicken bbq, rice cake soup (to celebrate New Years), soon tofu soup, and sweet spicy squid,.... Definitely will go again someday. The Korean jefa speaks good Korean, Spanish and Chinese jaja. Food was fantastic. She stopped me ordering more food as I.... This restaurant is delicious!!! Just like the Korean food in Seattle! The black bean sauce with noodles is amazing! Can't wait to come back and try more!. ",go-hyang-mat-madrid,https://s3-media2.fl.yelpcdn.com/bphoto/OrQQPpBHxLCjhH_rCPGh6A/o.jpg,False,10,40.39645,-3.69924,"{'address1': 'Calle del Divino Vallés, 31', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28045', 'country': 'ES', 'state': 'M', 'display_address': ['Calle del Divino Vallés, 31', '28045 Madrid', 'Spain']}",+34 911 43 45 81,€€,Arganzuela
yOfMlB2F9yiVN0Ck_X7o1A,Buenas y Santas,5.0,"Calle Bolívar, 9, 28045 Madrid, Spain",Argentine Salad Burgers ,"I was here yesterday for lunch and the place, although small, is very good.  My order was a burger, but this was a burger made from chicken.  They tell you.... Restaurante argentino moderno y económico. Menú diario por debajo de 11€. La carta es rica (y apta para vegetarianos), la presentación es muy buena y la.... ",buenas-y-santas-madrid,https://s3-media1.fl.yelpcdn.com/bphoto/XWSyAAz4Ls_uAHzK257rHw/o.jpg,False,13,40.392025680947,-3.6928251627922,"{'address1': 'Calle Bolívar, 9', 'address2': None, 'address3': None, 'city': 'Madrid', 'zip_code': '28045', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Bolívar, 9', '28045 Madrid', 'Spain']}",+34 915 06 06 47,€€,Arganzuela
z-V42tUmdrKNqpJIKevG2w,Juan Raro,5.0,"Calle Miguel Servet, 7, 28012 Madrid, Spain",Spanish Cafeteria Gastropubs ,"Super nice and relaxing place. Excellent Food and service. We came 3 times in 3 days, so there it is. Nice owner Micky and great Ladies serving.
Best.... I decided to try this place out when I was asking by it and then later saw it had good reviews on Yelp. The rating did not lie - this place is cool. 

I got.... This was my absolute favorite dinner in Spain. Located in the artsy, bohemian neighborhood of Lavapiés, Juan Raro is part café, part tapas restaurant, part.... ",juan-raro-madrid-2,https://s3-media1.fl.yelpcdn.com/bphoto/AaAbfGY5Z1m_xQQeGqHrdg/o.jpg,False,11,40.4069901403831,-3.70106537414207,"{'address1': 'Calle Miguel Servet, 7', 'address2': '', 'address3': '', 'city': 'Madrid', 'zip_code': '28012', 'country': 'ES', 'state': 'M', 'display_address': ['Calle Miguel Servet, 7', '28012 Madrid', 'Spain']}",+34 910 85 81 36,€€,Arganzuela
